model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,0.5,1.0,regular,kd,mIoU,44.03,46.23,48.84,11,,43.79,44.02,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,1.0,1.0,regular,kd,mIoU,44.03,48.34,50.41,9,,42.77,43.12,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,2.0,1.0,regular,kd,mIoU,44.03,48.60,49.50,8,,43.25,43.35,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,0.5,1.0,regular,ttm,mIoU,44.03,46.25,50.31,3,,43.72,43.93,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,1.0,1.0,regular,ttm,mIoU,44.03,48.86,48.92,15,,43.64,43.60,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.001,344110088,16,2.0,1.0,regular,ttm,mIoU,44.03,49.40,50.89,5,,43.34,43.25,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.0003,344110088,16,0.5,1.0,regular,kd,mIoU,44.03,46.76,48.12,2,,43.96,44.01,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.0003,344110088,16,1.0,1.0,regular,kd,mIoU,44.03,49.20,50.22,10,,43.71,43.65,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.0003,344110088,16,2.0,1.0,regular,kd,mIoU,44.03,49.77,50.23,8,,43.69,43.79,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.0003,344110088,16,0.5,1.0,regular,ttm,mIoU,44.03,49.08,49.75,11,,43.87,43.94,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
evan_large,s1,s1+s2,fft,0,fft,0.0003,344110088,16,1.0,1.0,regular,ttm,mIoU,44.03,49.81,49.85,4,,43.96,43.74,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,False
