wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
q58siijj,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144367120,latent+prefusion+distill+ce,transfer,91.05,42.43,56.64,46.28,91.14,43.43,91.05,43.96,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
04ovune1,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144367120,latent+prefusion+distill+ce,transfer,90.86,44.71,56.79,41.69,90.94,43.83,90.90,44.97,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
xca2cbbi,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144367120,latent+prefusion+distill+ce,transfer,90.93,41.94,57.55,39.57,91.02,42.91,90.96,42.48,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
gqkf79ej,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144367120,latent+prefusion+distill+ce,transfer,90.89,43.04,56.21,39.94,91.10,42.52,91.00,41.98,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
ntbtbocp,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144367120,latent+prefusion+distill+ce,peeking,91.04,46.97,57.62,44.65,91.81,48.50,91.39,47.24,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
9l4ci5y6,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144367120,latent+prefusion+distill+ce,peeking,91.18,49.01,56.73,47.33,91.64,48.39,91.35,47.68,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
uoorgsod,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144367120,latent+prefusion+distill+ce,peeking,91.09,43.67,58.22,46.15,91.73,44.58,91.40,43.73,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
dqtpryd5,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144367120,latent+prefusion+distill+ce,transfer,90.76,44.87,56.27,40.36,90.87,43.38,90.80,44.72,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
o5ar8p92,delulu-dfc2020-s2_rgb-s1,dfc2020,s2_rgb,s1,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,142794256,latent+prefusion+distill+ce,transfer,83.34,46.02,58.61,40.80,90.52,43.43,86.92,44.87,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
7ea43t2z,delulu-dfc2020-s2_rgb-s1,dfc2020,s2_rgb,s1,48.76,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,142794256,latent+prefusion+distill+ce,transfer,82.93,45.66,58.10,41.19,90.70,43.43,86.66,44.67,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
89ihj85y,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144367120,latent+prefusion+distill+ce,peeking,91.08,50.29,56.89,47.72,91.50,45.68,91.24,46.26,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
m4l8ubk4,delulu-dfc2020-s2_rgb-s2_norgb,dfc2020,s2_rgb,s2_norgb,48.76,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144367120,latent+prefusion+distill+ce,addition,91.00,46.54,57.76,45.78,91.37,44.86,91.18,45.19,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
