wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
td52gog3,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.23,45.41,56.30,40.09,91.33,46.13,91.28,42.53,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
34gmh8si,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.04,46.23,56.67,38.65,91.10,47.56,91.07,42.91,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
mb27dx33,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.25,48.25,55.77,40.63,91.33,50.47,91.28,43.41,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
o5r7fefn,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.17,47.49,57.74,42.81,91.22,46.95,91.19,44.44,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
wjs9hl4n,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.21,46.91,57.83,39.01,91.34,49.02,91.26,43.10,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
9ot9z384,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.22,46.64,57.04,42.08,91.19,47.64,91.20,43.85,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
wwjbc0cl,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.13,47.24,56.98,46.12,91.24,48.46,91.16,46.06,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
7pshrwqp,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.00046,,0.0025,100,0.44,0.14,0.0,False,False,True,0.13,0.37,0.73,,144367120,latent+prefusion+distill+ce,,91.17,47.18,56.82,42.07,91.41,50.60,91.28,45.52,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
y9bb3bhv,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142794256,latent+prefusion+distill+ce,transfer,83.59,46.98,57.04,43.40,93.19,46.73,88.36,50.84,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
p2sqjbr4,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,142794256,latent+prefusion+distill+ce,addition,84.22,44.37,57.37,40.47,91.19,50.40,87.70,45.38,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
e9nus3yt,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144367120,latent+prefusion+distill+ce,addition,91.08,45.02,55.83,38.73,91.12,43.96,91.10,41.53,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
eh8pmo7h,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142794256,latent+prefusion+distill+ce,transfer,83.43,45.63,57.29,47.34,93.14,49.68,88.25,51.98,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
nswazv1o,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142794256,latent+prefusion+distill+ce,transfer,83.58,46.25,57.94,43.97,93.21,48.36,88.36,50.30,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
wxdmvleq,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,142794256,latent+prefusion+distill+ce,transfer,83.81,45.20,56.80,42.30,93.12,48.48,88.44,50.08,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
mcgbe3tx,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144367120,latent+prefusion+distill+ce,transfer,91.71,48.83,56.33,44.52,92.89,50.09,92.30,46.28,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
ep3srd45,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144367120,latent+prefusion+distill+ce,peeking,91.63,49.75,56.99,45.36,91.84,51.14,91.73,47.75,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
vp3u224j,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142794256,latent+prefusion+distill+ce,peeking,83.98,46.62,58.34,50.30,92.18,53.46,88.06,50.10,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
