model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,dfc2020,s2,fft,20,0.001,0.01,32,mIoU,57.3902,49.8914,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_114416.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.001,0.01,32,mIoU,49.9799,42.1611,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_115358.pt
olmoearth-large,dfc2020,s1,fft,20,0.001,0.01,32,mIoU,48.3374,43.1675,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_115447.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.001,0.01,32,mIoU,57.2616,53.1552,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_115547.pt
olmoearth-large,dfc2020,s2,fft,20,0.001,0.0001,32,mIoU,56.4812,48.7776,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_121205.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.001,0.0001,32,mIoU,50.3564,41.8353,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_122136.pt
olmoearth-large,dfc2020,s1,fft,20,0.001,0.0001,32,mIoU,49.3381,45.1412,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_122939.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.001,0.0001,32,mIoU,58.1449,52.8436,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_122954.pt
olmoearth-large,dfc2020,s2,fft,20,0.001,0.0,32,mIoU,56.7740,50.4159,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_123945.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.001,0.0,32,mIoU,49.9201,40.5762,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_124857.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.001,0.0,32,mIoU,57.5194,52.7199,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_130350.pt
olmoearth-large,dfc2020,s1,fft,20,0.001,0.0,32,mIoU,48.3076,44.5933,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_130412.pt
olmoearth-large,dfc2020,s2,fft,20,0.0005,0.01,32,mIoU,57.5737,51.3274,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_130741.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,0.01,32,mIoU,54.0401,44.9534,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_131636.pt
olmoearth-large,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,57.2170,51.6233,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_133539.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,0.01,32,mIoU,57.9659,55.8964,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_133755.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,0.01,32,mIoU,51.1438,47.6508,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_133903.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,54.3891,46.3602,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_134410.pt
olmoearth-large,dfc2020,s2,fft,20,0.0005,0.0,32,mIoU,57.2850,52.8488,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_140321.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,0.0,32,mIoU,54.5810,45.3074,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_141141.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,57.9485,54.0540,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_141209.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,51.9338,49.5167,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_141350.pt
olmoearth-large,dfc2020,s2,fft,20,0.0001,0.01,32,mIoU,56.4329,51.5165,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_143106.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,0.01,32,mIoU,50.2343,38.0697,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_143920.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,0.0,32,mIoU,58.2292,54.6813,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_144605.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,0.0,32,mIoU,51.4111,48.1318,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_144821.pt
olmoearth-large,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,56.3952,51.6188,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_145855.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,51.8304,50.0983,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_150653.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,0.01,32,mIoU,57.6246,55.6352,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_152011.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,0.01,32,mIoU,52.3259,50.2087,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_152303.pt
olmoearth-large,dfc2020,s2,fft,20,0.0001,0.0,32,mIoU,56.4177,50.1163,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260417_152632.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,0.0,32,mIoU,51.5344,47.1524,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_153418.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,57.7611,54.4481,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_155422.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,52.4625,49.2842,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_155747.pt
olmoearth-base,dfc2020,s2,fft,20,0.001,0.01,32,mIoU,57.4452,52.7133,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_161025.pt
olmoearth-base,dfc2020,s1,fft,20,0.001,0.01,32,mIoU,50.8687,47.9526,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_161227.pt
olmoearth-base,dfc2020,s2,fft,20,0.001,0.0001,32,mIoU,57.1521,50.9644,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_162345.pt
olmoearth-base,dfc2020,s1,fft,20,0.001,0.0001,32,mIoU,51.3095,47.5885,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_162724.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,0.0,32,mIoU,57.5208,53.6247,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_162820.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,0.0,32,mIoU,51.9753,47.6845,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260417_163215.pt
olmoearth-base,dfc2020,s2,fft,20,0.001,0.0,32,mIoU,57.3783,52.3360,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_163717.pt
olmoearth-base,dfc2020,s1,fft,20,0.001,0.0,32,mIoU,51.1241,47.7702,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_164217.pt
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.01,32,mIoU,57.3847,52.8417,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_165025.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.01,32,mIoU,55.1212,46.9035,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_165216.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.01,32,mIoU,57.6340,54.9735,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_165229.pt
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.01,32,mIoU,51.9283,47.6588,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_165709.pt
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,57.2117,52.2945,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_170339.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.0001,32,mIoU,54.7157,42.5777,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_170445.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.0001,32,mIoU,56.4079,54.4571,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_170753.pt
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,51.6913,48.2084,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_171206.pt
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.0,32,mIoU,57.2650,51.4508,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_171644.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.001,0.0,32,mIoU,54.7538,38.5881,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_171713.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.001,0.0,32,mIoU,57.3581,54.3746,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_172322.pt
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.0,32,mIoU,52.0574,48.4223,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_172701.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,0.01,32,mIoU,55.6194,48.7721,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260417_172942.pt
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.01,32,mIoU,56.7380,53.4359,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260417_172941.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.01,32,mIoU,57.8194,55.5145,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_173846.pt
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.01,32,mIoU,52.8530,47.4035,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260417_174157.pt
