dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mask_token,protect_lrm,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,best_transfer,best_peeking,best_addition,best_ens_addition,val_at_best_transfer,val_at_best_peeking,val_at_best_addition,val_at_best_ens_addition,stage0_checkpoint,shote2e_checkpoint
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,51.98,62.48,63.79,63.47,38.95,67.29,66.33,52.08,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,137492774,prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,43.41,60.32,62.13,59.91,35.57,64.98,60.79,47.69,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.38,63.00,63.07,64.73,37.62,67.59,66.44,50.97,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.17,62.81,63.39,63.54,38.03,67.33,66.47,51.18,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137492774,prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,42.74,60.82,61.37,62.93,32.01,65.33,63.18,47.48,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+distill+ce,False,False,3,cross,3,mAP,61.27,49.78,63.41,62.47,63.60,37.59,67.42,59.50,45.88,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,False,False,3,cross,3,mAP,61.27,49.26,63.31,62.75,62.98,37.54,68.08,63.34,47.71,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,137492774,prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,44.28,61.99,63.00,60.41,35.03,65.65,63.51,47.95,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,False,3,cross,3,mAP,61.27,49.48,63.49,63.48,63.65,37.34,67.41,66.60,50.93,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,False,False,3,cross,3,mAP,61.27,48.56,63.88,61.50,62.63,37.48,68.14,61.47,46.03,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
