wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,tz_fusion_time,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
7iujk876,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,130401830,1,latent+prefusion+distill+ce,,67.05,52.16,54.20,50.60,77.65,53.07,72.35,53.85,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
wubnzso7,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,137491238,2,latent+prefusion+distill+ce,,66.00,51.23,53.07,49.10,77.00,51.17,71.18,52.47,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
ikr2jzsn,delulu-may6,benv2,s1,s2,49.23,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,123312422,0,latent+prefusion+distill+ce,,60.65,51.97,55.11,50.68,78.35,50.98,68.45,54.13,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
kbfkhzs5,delulu-may6,benv2,s1,s2,49.23,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,151670054,4,latent+prefusion+distill+ce,,66.35,51.89,52.01,48.82,77.85,51.30,72.10,52.70,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7ngmr61m,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,130401830,1,latent+prefusion+distill+ce,,58.25,50.58,54.12,50.08,77.50,51.18,65.50,52.05,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
qb3xbipf,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,130401830,1,latent+prefusion+distill+ce,,64.20,51.74,54.02,50.87,77.15,51.07,69.78,54.21,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
xewiuvvb,delulu-may6,benv2,s1,s2,49.23,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,123312422,0,latent+prefusion+distill+ce,,62.85,51.61,55.17,50.83,77.90,52.09,69.45,53.98,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
25zelxga,delulu-may6,benv2,s1,s2,49.23,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144580646,3,latent+prefusion+distill+ce,,63.30,49.04,53.33,49.54,79.00,50.58,70.03,52.16,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
172195pv,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,137491238,2,latent+prefusion+distill+ce,,63.85,50.85,54.09,50.09,78.50,50.58,69.55,53.38,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
phms0ijv,delulu-may6,benv2,s1,s2,49.23,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,151670054,4,latent+prefusion+distill+ce,,52.95,40.87,53.46,50.63,79.95,50.59,65.58,49.78,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
m2gkx55e,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,158759462,5,latent+prefusion+distill+ce,,62.35,50.27,53.22,49.81,82.45,50.29,72.40,52.54,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
dwh6kade,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,137491238,2,latent+prefusion+distill+ce,,57.90,48.82,53.51,50.39,78.10,50.11,66.97,52.47,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
09xe7ca1,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,158759462,5,latent+prefusion+distill+ce,,64.60,49.70,50.80,46.83,75.45,47.33,67.33,49.06,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
2sin9w2a,delulu-may6,benv2,s1,s2,49.23,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,144580646,3,latent+prefusion+distill+ce,,67.05,52.61,52.32,48.60,75.95,49.18,70.85,53.24,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
zx6ibkdx,delulu-may6,benv2,s1,s2,49.23,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,144580646,3,latent+prefusion+distill+ce,,55.15,51.10,53.92,49.46,80.55,50.43,66.22,51.61,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
1d4wtj22,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,158759462,5,latent+prefusion+distill+ce,,62.70,50.67,53.48,50.37,81.00,50.55,71.58,53.22,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
q8m300jg,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,172938278,7,latent+prefusion+distill+ce,,54.55,41.34,49.95,46.77,76.85,46.67,64.67,48.23,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
kh9cw61a,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,165848870,6,latent+prefusion+distill+ce,,64.50,49.91,53.40,50.92,81.60,51.00,72.75,53.80,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
mhthqh7r,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,165848870,6,latent+prefusion+distill+ce,,59.20,49.06,53.24,50.04,81.95,50.25,70.30,53.41,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
s2xvmqdq,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,180027686,8,latent+prefusion+distill+ce,,55.90,42.58,51.10,46.85,76.90,47.34,66.17,50.00,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
0h5uguuz,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,172938278,7,latent+prefusion+distill+ce,,63.80,50.56,53.91,50.80,80.65,50.71,71.82,53.89,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
fqhgx1q9,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,180027686,8,latent+prefusion+distill+ce,,63.65,49.82,53.73,49.66,82.70,49.93,73.00,52.50,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
at3r8rpn,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,172938278,7,latent+prefusion+distill+ce,,63.75,50.26,53.53,50.86,81.85,51.03,72.80,53.20,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
qjs381y7,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,180027686,8,latent+prefusion+distill+ce,,63.10,49.61,53.99,50.67,82.30,50.80,72.45,53.43,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
d0hpa9lu,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,187117094,9,latent+prefusion+distill+ce,,54.45,35.51,50.81,47.54,73.65,46.31,64.05,47.32,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
qmtwjfnp,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,187117094,9,latent+prefusion+distill+ce,,63.50,50.30,54.00,49.65,82.35,49.71,72.53,52.35,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
b2769el5,delulu-may6,benv2,s1,s2,49.24,0.0004919525946897,,0.0002987654348049,64,0.3,0.4943255892768998,0.3739336769398811,0.1141659173783924,0.0,0.5,False,True,True,0.1003649288975272,0.9867093196115908,0.5724958342782179,0.6071421425812242,194206502,10,latent+prefusion+distill+ce,,51.60,35.54,50.98,47.86,74.30,46.63,62.95,46.42,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
7zrrohfz,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,187117094,9,latent+prefusion+distill+ce,,55.90,50.18,53.73,49.87,82.65,49.91,69.28,52.22,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
zlrh8rak,delulu-may6,benv2,s1,s2,49.24,0.0004774231555564,,2.097367228673949e-05,64,0.3,0.1179198901802484,0.217880054935906,0.1528037178698822,0.0,0.0,False,True,True,0.2696171530477876,0.6047276485413138,0.8583708932965115,0.5995580822364286,194206502,10,latent+prefusion+distill+ce,,62.10,49.10,53.55,50.51,81.15,51.15,71.47,53.26,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
