dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mask_token,protect_lrm,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,best_transfer,best_peeking,best_addition,best_ens_addition,val_at_best_transfer,val_at_best_peeking,val_at_best_addition,val_at_best_ens_addition,stage0_checkpoint,shote2e_checkpoint
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,49.04,63.55,62.15,63.22,38.06,68.21,63.52,46.95,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,48.42,64.08,62.61,63.76,37.27,68.34,62.88,46.63,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,48.03,63.60,62.69,64.01,38.06,68.58,63.64,47.77,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,48.25,63.78,62.52,63.60,37.85,68.26,61.60,47.90,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.00015,0.000102,60,0.716,0.13,0.555,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,46.51,64.02,63.99,63.76,36.36,68.03,63.59,49.71,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,46.02,64.01,62.52,62.80,36.94,67.89,63.33,47.56,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000168,0.00338,60,0.181,0.369,0.669,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,47.81,63.17,61.89,62.35,36.98,67.72,62.66,46.94,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,61.27,48.66,63.65,62.90,63.66,37.54,68.05,60.77,45.31,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,53.45,50.98,50.12,54.88,36.97,54.45,46.34,41.37,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,51.02,50.67,52.14,52.62,35.33,53.42,44.59,39.84,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,51.37,50.65,50.08,53.48,35.63,53.41,45.31,39.97,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,50.73,50.26,50.01,52.56,36.07,52.61,46.15,39.99,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,51.51,49.96,52.49,54.04,34.67,53.66,43.25,38.62,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.00015,0.000102,60,0.716,0.13,0.555,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,50.82,50.66,50.94,51.51,34.20,53.36,47.67,40.56,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000168,0.00338,60,0.181,0.369,0.669,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,50.98,50.85,50.99,54.70,35.09,53.04,45.55,39.40,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+distill+ce,True,False,3,cross,3,mAP,49.23,51.73,50.19,52.48,53.19,35.34,53.19,45.48,40.41,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
