dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mask_token,protect_lrm,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,best_transfer,best_peeking,best_addition,best_ens_addition,val_at_best_transfer,val_at_best_peeking,val_at_best_addition,val_at_best_ens_addition,stage0_checkpoint,shote2e_checkpoint
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,50.72,64.21,64.17,64.04,39.87,68.05,67.26,53.41,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,49.69,64.20,64.13,63.07,40.03,68.36,67.64,53.77,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,50.78,64.24,64.21,63.90,39.45,67.86,67.51,53.48,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,50.06,64.32,64.28,63.56,40.62,68.38,67.61,54.06,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000168,0.00338,60,0.181,0.369,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,48.80,63.89,64.05,63.38,38.61,68.16,67.46,53.00,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.00015,0.000102,60,0.716,0.13,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,50.02,63.95,64.31,64.36,39.10,67.94,66.96,53.02,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,61.27,49.88,63.51,63.56,62.98,39.47,67.76,67.09,53.14,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,51.25,50.03,50.21,52.65,36.45,51.84,51.45,43.95,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,51.27,49.07,49.30,52.14,37.15,52.10,51.76,44.40,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,50.53,49.16,49.27,52.28,36.70,51.91,51.43,44.02,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,51.31,50.15,50.07,52.20,36.08,52.02,51.46,43.75,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000168,0.00338,60,0.181,0.369,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,50.53,49.40,49.53,52.05,35.95,51.63,51.24,43.57,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.00015,0.000102,60,0.716,0.13,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,51.14,50.04,50.18,52.24,35.37,52.20,51.94,43.62,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.0,0.5,151668518,latent+prefusion+distill,False,False,3,cross,3,mAP,49.23,50.96,49.04,49.25,52.39,36.13,51.95,51.52,43.70,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
