dataset,model_arch,starting_modality,new_modality,lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mask_token,protect_lrm,warmup_epochs,intermediate_projector_type,tz_fusion_time,metric_name,teacher_test_metric,best_transfer,best_peeking,best_addition,best_ens_addition,val_at_best_transfer,val_at_best_peeking,val_at_best_addition,val_at_best_ens_addition,stage0_checkpoint,shote2e_checkpoint
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,48.78,63.41,63.55,63.40,38.67,67.96,66.03,52.35,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,48.95,63.87,63.85,63.96,38.84,68.08,66.61,52.73,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,49.23,50.10,49.74,49.50,51.84,33.66,53.38,51.34,42.25,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,49.02,64.05,62.84,63.62,37.59,67.62,66.71,52.02,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,49.23,50.69,49.90,48.91,53.07,37.06,53.44,50.99,43.98,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s2,s1,0.00015,0.000102,60,0.716,0.13,0.555,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,47.06,63.87,63.81,63.58,37.61,67.78,66.36,51.97,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s1,s2,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,49.23,51.51,50.18,49.83,52.05,36.68,53.75,51.01,42.74,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s1,s2,0.00015,0.000102,60,0.716,0.13,0.555,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,49.23,50.29,51.86,52.01,53.78,36.02,54.08,51.95,43.98,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,
benv2,evan_base,s2,s1,0.000192,0.00353,60,0.322,0.283,0.296,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,48.84,63.40,63.11,63.24,38.30,68.07,67.39,52.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
benv2,evan_base,s2,s1,0.000229,0.000788,60,0.467,0.356,0.433,0.5,151668518,latent+prefusion+distill+ce,False,True,3,cross,3,mAP,61.27,48.20,63.58,63.83,63.67,39.53,67.57,65.75,52.64,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260418_112953.pt,
