model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,test_accuracy,best_test_accuracy(oracle),best_epoch,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_small,rgb,vre,fft,32,fft,0.0001,22207498,32,2.0,1.0,regular,87.70,87.89,30,,,,checkpoints/evan_distill_rgb_to_vre_20260127_030343.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,rgb,swir,fft,32,fft,0.0001,22109194,32,2.0,1.0,regular,86.48,86.48,32,,,,checkpoints/evan_distill_rgb_to_swir_20260127_030411.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,rgb,nir,fft,32,fft,0.0001,22109194,32,2.0,1.0,regular,79.44,79.44,32,,,,checkpoints/evan_distill_rgb_to_nir_20260127_030439.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,vre,rgb,fft,32,fft,0.0001,22207498,32,2.0,1.0,regular,98.33,98.33,32,,,,checkpoints/evan_distill_vre_to_rgb_20260127_031317.pt,clstoken,checkpoints/vre_fft.pt
evan_small,vre,swir,fft,32,fft,0.0001,22109194,32,2.0,1.0,regular,84.09,84.69,16,,,,checkpoints/evan_distill_vre_to_swir_20260127_031358.pt,clstoken,checkpoints/vre_fft.pt
evan_small,vre,nir,fft,32,fft,0.0001,22109194,32,2.0,1.0,regular,85.65,85.69,31,,,,checkpoints/evan_distill_vre_to_nir_20260127_031754.pt,clstoken,checkpoints/vre_fft.pt
evan_small,rgb,vre,fft,32,fft,0.0001,22207498,32,2.0,1.0,with_guidance,88.69,88.69,32,,,,checkpoints/evan_distill_rgb_to_vre_20260127_032228.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,rgb,swir,fft,32,fft,0.0001,22109194,32,2.0,1.0,with_guidance,86.54,86.61,31,,,,checkpoints/evan_distill_rgb_to_swir_20260127_032409.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,rgb,nir,fft,32,fft,0.0001,22109194,32,2.0,1.0,with_guidance,74.83,74.83,31,,,,checkpoints/evan_distill_rgb_to_nir_20260127_032451.pt,clstoken,checkpoints/rgb_fft.pt
evan_small,nir,rgb,fft,32,fft,0.0001,22207498,32,2.0,1.0,regular,98.28,98.35,14,,,,checkpoints/evan_distill_nir_to_rgb_20260127_032526.pt,clstoken,checkpoints/nir_fft.pt
evan_small,vre,swir,fft,32,fft,0.0001,22109194,32,2.0,1.0,with_guidance,88.46,88.46,32,,,,checkpoints/evan_distill_vre_to_swir_20260127_033157.pt,clstoken,checkpoints/vre_fft.pt
evan_small,vre,rgb,fft,32,fft,0.0001,22207498,32,2.0,1.0,with_guidance,98.35,98.37,31,,,,checkpoints/evan_distill_vre_to_rgb_20260127_033408.pt,clstoken,checkpoints/vre_fft.pt
evan_small,vre,nir,fft,32,fft,0.0001,22109194,32,2.0,1.0,with_guidance,76.39,78.91,27,,,,checkpoints/evan_distill_vre_to_nir_20260127_033858.pt,clstoken,checkpoints/vre_fft.pt
evan_small,nir,rgb,fft,32,fft,0.0001,22207498,32,2.0,1.0,with_guidance,98.43,98.44,27,,,,checkpoints/evan_distill_nir_to_rgb_20260127_034304.pt,clstoken,checkpoints/nir_fft.pt
