model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,45.57,47.56,48.15,64,84.36,48.16,47.67,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,45.57,46.45,47.09,64,82.98,48.00,47.52,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,45.57,47.05,47.89,64,83.31,48.05,47.65,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,45.57,47.56,48.03,64,83.62,48.13,47.62,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,2.0,1.0,regular,ttm,mIoU,45.57,45.58,46.88,64,83.19,47.32,47.00,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,45.57,47.78,48.37,64,84.31,48.23,47.79,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.01,87052040,64,2.0,1.0,regular,kd,mIoU,45.57,47.02,48.23,64,83.84,47.85,47.40,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,ttm,mIoU,45.57,46.16,47.86,64,83.05,47.75,47.22,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,kd,mIoU,45.57,47.03,47.70,64,83.18,48.00,47.41,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,1.0,1.0,regular,ttm,mIoU,45.57,47.13,48.17,64,84.40,47.97,47.48,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,2.0,1.0,regular,ttm,mIoU,56.33,53.53,53.72,64,89.83,56.09,55.96,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,45.57,47.59,48.62,64,83.99,48.30,47.97,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,45.57,45.33,47.14,64,82.72,47.52,46.91,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,45.57,47.11,47.84,64,83.79,48.02,47.56,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,45.57,47.53,48.70,64,83.99,48.12,47.70,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,56.33,54.84,55.24,64,90.54,56.56,56.43,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,1.0,1.0,regular,kd,mIoU,56.33,54.14,54.36,64,90.34,56.26,56.23,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,1.0,1.0,regular,ttm,mIoU,45.57,47.55,47.95,64,84.02,48.30,47.86,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,56.51,52.19,52.47,64,89.18,55.49,55.34,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,56.33,53.04,53.91,64,89.56,55.81,55.66,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,56.33,54.56,54.59,64,91.00,56.19,56.08,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,56.33,54.96,55.36,64,90.82,56.36,56.28,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,56.33,53.96,54.06,64,89.76,56.35,56.24,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,1.0,1.0,regular,kd,mIoU,45.57,47.35,47.85,64,82.97,48.28,47.75,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
