model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,49.05,47.77,48.75,64,81.97,51.00,50.67,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,49.05,48.89,50.00,64,81.25,51.60,51.12,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,1.0,1.0,regular,ttm,mIoU,49.05,47.65,48.20,64,81.85,50.61,50.30,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.01,87052040,64,2.0,1.0,regular,kd,mIoU,49.05,48.09,48.48,64,81.98,51.04,50.46,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,49.05,48.91,49.17,64,82.15,51.38,50.85,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,59.01,55.77,56.40,64,88.88,58.58,58.49,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,1.0,1.0,regular,ttm,mIoU,49.05,47.77,49.10,64,82.12,50.74,50.51,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,1.0,1.0,regular,ttm,mIoU,59.01,54.76,55.38,64,89.02,58.26,58.26,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,49.05,49.11,49.72,64,81.71,51.32,50.84,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,1.0,1.0,regular,kd,mIoU,59.01,54.99,55.20,64,88.68,58.40,58.37,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.01,85675784,64,2.0,1.0,regular,kd,mIoU,63.59,48.25,49.46,64,82.53,58.74,58.32,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s1,s2_norgb,fft,0,fft,5e-05,0.0,87052040,64,4.0,1.0,regular,ttm,mIoU,49.05,49.22,49.83,64,81.23,51.72,51.19,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,1.0,1.0,regular,ttm,mIoU,63.59,48.72,49.24,64,82.14,59.94,59.83,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,5e-05,0.0,85675784,64,1.0,1.0,regular,kd,mIoU,63.59,48.61,49.37,64,82.21,60.09,59.73,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,0.01,85675784,64,4.0,1.0,regular,kd,mIoU,63.59,49.71,50.07,64,82.32,59.04,58.69,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,4.0,1.0,regular,kd,mIoU,59.01,56.31,56.55,64,88.96,58.81,58.77,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.0,85675784,64,4.0,1.0,regular,ttm,mIoU,63.59,50.98,51.19,64,83.12,59.29,59.29,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,5e-05,0.01,87052040,64,2.0,1.0,regular,kd,mIoU,59.01,54.99,54.99,64,88.52,58.24,58.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0001,0.01,87052040,64,1.0,1.0,regular,ttm,mIoU,59.01,55.31,55.87,64,89.29,58.39,58.39,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,True
evan_base,s1,s2_norgb,fft,0,fft,0.0005,0.0,87052040,64,2.0,1.0,regular,ttm,mIoU,49.05,47.77,49.18,64,82.20,50.80,50.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,True
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,0.01,85675784,64,4.0,1.0,regular,kd,mIoU,63.59,50.89,51.10,64,83.43,59.20,59.17,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,True
