model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher,seed
evan_base,s2_rgb,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,59.80,46.87,47.23,64,82.07,56.44,56.24,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,0
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,ttm,mIoU,47.96,48.25,49.91,64,83.88,50.10,49.73,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,True,0
evan_base,s2,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,66.96,47.44,47.98,64,80.21,61.90,62.14,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,True,0
evan_base,s2_rgb,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,59.80,46.14,47.20,64,82.17,55.66,55.42,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,2
evan_base,s2,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,66.96,47.13,47.83,64,80.23,61.71,61.98,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,True,0
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,kd,mIoU,47.96,47.94,48.80,64,83.92,49.89,49.54,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0001,0.01,126387720,64,2.0,1.0,regular,kd,mIoU,59.80,58.61,58.87,64,91.01,60.18,60.11,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,0
evan_base,s2_rgb,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,59.80,47.19,47.65,64,81.72,56.60,56.46,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,1
evan_base,s2,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,66.96,46.94,47.24,64,79.99,61.19,61.49,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,True,1
evan_base,s2_rgb,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,kd,mIoU,59.80,47.90,48.47,64,82.78,56.63,56.23,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,1
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,ttm,mIoU,47.96,48.24,48.99,64,83.61,49.83,49.50,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,True,1
evan_base,s2_rgb,s1,fft,0.0001,0.01,124814856,64,2.0,1.0,regular,ttm,mIoU,59.80,46.92,47.13,64,81.63,56.57,56.32,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0001,0.01,126387720,64,2.0,1.0,regular,kd,mIoU,59.80,58.53,58.76,64,90.73,60.22,60.14,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,True,1
evan_base,s1,s2,fft,0.0001,0.01,126977544,64,2.0,1.0,regular,kd,mIoU,47.96,48.83,49.20,64,83.55,50.16,49.84,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,True,1
