model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s2_rgb,fft,0,fft,0.0001,125011464,64,2.0,1.0,regular,kd,mIoU,49.05,47.99,48.25,64,82.04,50.89,50.55,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_rgb,fft,0,fft,0.0005,125011464,64,2.0,1.0,regular,ttm,mIoU,49.05,47.96,48.35,64,81.07,51.07,50.60,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s1,s2_rgb,fft,0,fft,0.0005,125011464,64,2.0,1.0,regular,kd,mIoU,49.05,47.82,48.42,64,80.85,51.23,50.63,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s1,fft,0,fft,0.0005,124814856,64,2.0,1.0,regular,kd,mIoU,59.01,45.22,45.69,64,81.33,55.09,54.94,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s1,s2_rgb,fft,0,fft,0.0001,125011464,64,2.0,1.0,regular,ttm,mIoU,49.05,48.53,49.20,64,81.58,51.14,50.66,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s1,fft,0,fft,0.0005,124814856,64,2.0,1.0,regular,ttm,mIoU,59.01,45.01,45.79,64,81.42,54.95,54.92,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,126387720,64,2.0,1.0,regular,ttm,mIoU,49.05,51.00,51.76,64,84.03,51.90,51.65,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s1,fft,0,fft,0.0001,124814856,64,2.0,1.0,regular,kd,mIoU,59.01,46.04,47.75,64,82.01,55.51,55.64,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0001,126387720,64,2.0,1.0,regular,kd,mIoU,49.05,51.21,51.94,64,84.19,51.98,51.70,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,126387720,64,2.0,1.0,regular,ttm,mIoU,59.01,57.04,57.30,64,90.99,59.02,58.98,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,126387720,64,2.0,1.0,regular,ttm,mIoU,49.05,49.44,50.35,64,84.01,51.35,50.90,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_rgb,s1,fft,0,fft,0.0001,124814856,64,2.0,1.0,regular,ttm,mIoU,59.01,46.27,46.41,64,81.95,55.73,55.91,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s1,fft,0,fft,0.0001,124814856,64,2.0,1.0,regular,kd,mIoU,63.59,46.80,47.90,64,80.81,59.29,59.28,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s1,s2_norgb,fft,0,fft,0.0005,126387720,64,2.0,1.0,regular,kd,mIoU,49.05,50.40,50.78,64,83.54,51.63,51.38,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,False
evan_base,s2_norgb,s1,fft,0,fft,0.0001,124814856,64,2.0,1.0,regular,ttm,mIoU,63.59,47.19,47.77,64,80.55,59.07,59.15,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0001,125011464,64,2.0,1.0,regular,kd,mIoU,63.59,56.60,56.71,64,89.40,61.67,61.61,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0005,126387720,64,2.0,1.0,regular,kd,mIoU,59.01,58.08,58.17,64,90.97,59.46,59.44,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260821_192848.pt,False
evan_base,s2_norgb,s1,fft,0,fft,0.0005,124814856,64,2.0,1.0,regular,ttm,mIoU,63.59,45.80,46.50,64,80.43,58.58,58.44,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,125011464,64,2.0,1.0,regular,kd,mIoU,63.59,55.01,55.35,64,88.92,60.68,60.43,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
evan_base,s2_norgb,s2_rgb,fft,0,fft,0.0005,125011464,64,2.0,1.0,regular,ttm,mIoU,63.59,55.45,55.77,64,89.07,61.14,61.03,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260821_194419.pt,False
