model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,kd,mIoU,45.57,44.76,46.04,64,88.39,39.90,39.54,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,kd,mIoU,45.57,46.18,47.21,64,89.33,39.65,39.43,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,kd,mIoU,45.57,45.62,47.88,64,88.90,40.35,40.77,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,kd,mIoU,56.33,53.44,54.15,64,90.33,48.63,45.99,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,kd,mIoU,56.33,53.42,53.73,64,89.43,46.14,43.02,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,kd,mIoU,56.33,55.11,55.42,64,90.93,43.49,48.30,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,kd,mIoU,56.51,55.46,55.89,64,93.84,51.49,49.17,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,kd,mIoU,56.51,55.83,55.98,64,93.73,50.98,50.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,kd,mIoU,45.57,45.26,46.49,64,87.80,39.07,38.54,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,kd,mIoU,56.51,55.74,55.74,64,93.72,47.04,45.93,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,kd,mIoU,56.51,55.25,55.85,64,94.04,48.03,48.66,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,kd,mIoU,56.33,54.61,54.96,64,90.91,47.84,49.62,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,ttm,mIoU,45.57,44.44,46.50,64,88.70,39.53,39.25,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,ttm,mIoU,45.57,45.52,46.97,64,87.84,39.07,38.87,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,ttm,mIoU,56.33,53.57,54.07,64,90.26,51.60,51.09,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,ttm,mIoU,56.33,53.85,53.85,64,89.78,49.36,47.82,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,ttm,mIoU,45.57,46.51,47.09,64,88.38,40.25,40.16,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,ttm,mIoU,56.33,55.34,55.57,64,90.83,47.13,49.77,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,ttm,mIoU,56.51,55.51,55.52,64,93.83,48.17,47.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,ttm,mIoU,56.33,54.63,55.05,64,90.85,48.12,49.69,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155339.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,ttm,mIoU,56.51,55.05,55.37,64,94.01,49.62,49.86,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,ttm,mIoU,56.51,56.01,56.10,64,93.64,50.76,50.68,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,ttm,mIoU,56.51,55.24,55.90,64,93.97,51.97,50.63,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155433.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,ttm,mIoU,45.57,45.62,47.05,64,89.36,39.44,39.08,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155657.pt,False
