model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,kd,mIoU,49.63,50.24,51.70,64,88.58,41.70,42.16,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155801.pt,False
evan_base,s1,s1+s2_rgb,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,kd,mIoU,49.63,51.09,51.72,64,87.93,38.91,39.77,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155801.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0001,107342600,64,2.0,1.0,regular,kd,mIoU,57.58,53.77,54.54,64,89.31,46.50,41.89,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155351.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,kd,mIoU,49.63,54.05,54.20,64,88.74,38.53,36.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155801.pt,False
evan_base,s1,s1+s2_norgb,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,kd,mIoU,49.63,53.53,54.33,64,88.88,40.47,40.12,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260820_155801.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0005,107342600,64,2.0,1.0,regular,kd,mIoU,57.58,54.14,54.58,64,89.98,41.49,38.10,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155351.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,kd,mIoU,57.58,56.91,57.03,64,90.61,47.20,48.36,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155351.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,kd,mIoU,57.58,56.59,56.87,64,90.07,46.47,49.18,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260820_155351.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0001,108718856,64,2.0,1.0,regular,kd,mIoU,58.14,57.07,57.35,64,93.48,49.50,49.15,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155441.pt,False
evan_base,s2_norgb,s2_norgb+s1,fft,0,fft,0.0005,108718856,64,2.0,1.0,regular,kd,mIoU,58.14,57.23,57.74,64,93.64,51.52,49.48,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155441.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0005,108915464,64,2.0,1.0,regular,kd,mIoU,58.14,56.65,57.02,64,93.62,48.51,49.44,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155441.pt,False
evan_base,s2_norgb,s2_norgb+s2_rgb,fft,0,fft,0.0001,108915464,64,2.0,1.0,regular,kd,mIoU,58.14,56.02,56.68,64,93.11,44.99,44.01,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_norgb_fft_lr0.0005_20260820_155441.pt,False
