model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s1+s2,fft,0.0005,0.01,148644360,64,2.0,1.0,regular,kd,mIoU,47.96,48.90,49.31,64,89.40,41.99,41.47,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s1,s1+s2,fft,0.0005,0.01,148644360,64,2.0,1.0,regular,ttm,mIoU,47.96,48.95,50.40,64,89.78,42.70,41.95,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s1,s1+s2,fft,0.0001,0.01,148644360,64,2.0,1.0,regular,ttm,mIoU,47.96,49.56,51.27,64,89.78,41.90,41.39,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s2,s2+s1,fft,0.0005,0.01,148644360,64,2.0,1.0,regular,kd,mIoU,66.96,65.38,65.53,64,94.75,63.50,63.44,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s1,s1+s2,fft,0.0001,0.01,148644360,64,2.0,1.0,regular,kd,mIoU,47.96,49.90,51.13,64,89.58,42.69,42.42,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260916_012334.pt,False
evan_base,s2,s2+s1,fft,0.0001,0.01,148644360,64,2.0,1.0,regular,ttm,mIoU,66.96,65.88,65.95,64,95.27,54.96,53.59,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s2,s2+s1,fft,0.0001,0.01,148644360,64,2.0,1.0,regular,kd,mIoU,66.96,66.07,66.07,64,95.35,53.84,52.12,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0.0005,0.01,146678280,64,2.0,1.0,regular,kd,mIoU,59.80,57.59,58.14,64,91.10,52.39,51.86,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.01,146678280,64,2.0,1.0,regular,kd,mIoU,59.80,58.24,58.59,64,91.19,53.06,51.34,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0.0005,0.01,146678280,64,2.0,1.0,regular,ttm,mIoU,59.80,57.70,58.52,64,91.15,54.89,54.89,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.01,146678280,64,2.0,1.0,regular,ttm,mIoU,59.80,58.25,58.59,64,91.20,52.19,50.92,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0005,0.01,148251144,64,2.0,1.0,regular,ttm,mIoU,59.80,58.85,59.20,64,91.04,53.99,55.13,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0005,0.01,148251144,64,2.0,1.0,regular,kd,mIoU,59.80,59.45,59.58,64,91.34,55.99,56.56,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0001,0.01,148251144,64,2.0,1.0,regular,kd,mIoU,59.80,60.00,60.25,64,91.73,53.18,48.75,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0001,0.01,148251144,64,2.0,1.0,regular,ttm,mIoU,59.80,60.20,60.31,64,91.82,52.74,46.51,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260916_012550.pt,False
evan_base,s2,s2+s1,fft,0.0005,0.01,148644360,64,2.0,1.0,regular,ttm,mIoU,66.96,65.49,65.49,64,95.12,63.24,62.87,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260916_020548.pt,False
