model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights,seed
evan_base,s1,fft,0.0001,0.0001,124814856,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,48.74,48.92,48.88,checkpoints/evan_freematch_dfc2020_s1_20260919_111431.pt,clstoken,True,False,0
evan_base,s2_rgb,fft,0.0001,0.0001,125011464,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,59.05,60.12,59.31,checkpoints/evan_freematch_dfc2020_s2_rgb_20260919_111450.pt,clstoken,True,False,0
evan_base,s2_rgb,fft,0.0001,0.0001,125011464,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,59.52,60.23,59.39,checkpoints/evan_freematch_dfc2020_s2_rgb_20260919_111543.pt,clstoken,True,False,1
evan_base,s2_norgb,fft,0.0001,0.0001,126387720,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,58.01,58.49,58.01,checkpoints/evan_freematch_dfc2020_s2_norgb_20260919_111447.pt,clstoken,True,False,0
evan_base,s1,fft,0.0001,0.0001,124814856,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,46.02,47.18,46.02,checkpoints/evan_freematch_dfc2020_s1_20260919_111804.pt,clstoken,True,False,2
evan_base,s1,fft,0.0001,0.0001,124814856,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,47.39,48.43,47.53,checkpoints/evan_freematch_dfc2020_s1_20260919_111538.pt,clstoken,True,False,1
evan_base,s2,fft,0.0001,0.0001,126977544,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,58.74,59.12,58.76,checkpoints/evan_freematch_dfc2020_s2_20260919_111544.pt,clstoken,True,False,1
evan_base,s2_rgb,fft,0.0001,0.0001,125011464,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,59.58,59.99,59.51,checkpoints/evan_freematch_dfc2020_s2_rgb_20260919_111828.pt,clstoken,True,False,2
evan_base,s2,fft,0.0001,0.0001,126977544,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,58.97,59.89,59.09,checkpoints/evan_freematch_dfc2020_s2_20260919_111817.pt,clstoken,True,False,2
evan_base,s2,fft,0.0001,0.0001,126977544,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,59.36,60.27,59.37,checkpoints/evan_freematch_dfc2020_s2_20260919_111442.pt,clstoken,True,False,0
evan_base,s2_norgb,fft,0.0001,0.0001,126387720,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,58.80,59.41,58.80,checkpoints/evan_freematch_dfc2020_s2_norgb_20260919_111555.pt,clstoken,True,False,1
evan_base,s2_norgb,fft,0.0001,0.0001,126387720,64,1.0,0.01,0.999,1.0,False,True,False,mIoU,57.53,57.45,57.33,checkpoints/evan_freematch_dfc2020_s2_norgb_20260919_111824.pt,clstoken,True,False,2
