model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_base,s1,fft,0.0005,0.0001,124814856,64,2,0.5,0.75,0.5,4,mIoU,46.92,47.96,47.75,checkpoints/evan_mixmatch_dfc2020_s1_20260915_225527.pt,clstoken,True
evan_base,s1,fft,0.0001,0.0001,124814856,64,2,0.5,0.75,0.5,4,mIoU,46.60,48.95,48.04,checkpoints/evan_mixmatch_dfc2020_s1_20260915_225552.pt,clstoken,True
evan_base,s1,fft,0.0005,0.0001,124814856,64,2,0.5,0.75,1.0,4,mIoU,42.92,43.20,43.36,checkpoints/evan_mixmatch_dfc2020_s1_20260915_225602.pt,clstoken,True
evan_base,s2,fft,0.0005,0.0001,126977544,64,2,0.5,0.75,1.0,4,mIoU,55.58,55.89,56.08,checkpoints/evan_mixmatch_dfc2020_s2_20260915_225643.pt,clstoken,True
evan_base,s2,fft,0.0001,0.0001,126977544,64,2,0.5,0.75,1.0,4,mIoU,58.45,58.71,58.28,checkpoints/evan_mixmatch_dfc2020_s2_20260915_225646.pt,clstoken,True
evan_base,s2_norgb,fft,0.0005,0.0001,126387720,64,2,0.5,0.75,0.5,4,mIoU,58.58,59.03,58.63,checkpoints/evan_mixmatch_dfc2020_s2_norgb_20260915_225906.pt,clstoken,True
evan_base,s2,fft,0.0001,0.0001,126977544,64,2,0.5,0.75,0.5,4,mIoU,58.44,60.70,59.97,checkpoints/evan_mixmatch_dfc2020_s2_20260915_225646.pt,clstoken,True
evan_base,s2,fft,0.0005,0.0001,126977544,64,2,0.5,0.75,0.5,4,mIoU,56.95,60.31,60.17,checkpoints/evan_mixmatch_dfc2020_s2_20260915_225643.pt,clstoken,True
evan_base,s2_norgb,fft,0.0001,0.0001,126387720,64,2,0.5,0.75,0.5,4,mIoU,57.91,59.28,59.45,checkpoints/evan_mixmatch_dfc2020_s2_norgb_20260915_225945.pt,clstoken,True
evan_base,s2_rgb,fft,0.0001,0.0001,125011464,64,2,0.5,0.75,1.0,4,mIoU,55.86,57.07,56.76,checkpoints/evan_mixmatch_dfc2020_s2_rgb_20260915_230508.pt,clstoken,True
evan_base,s1,fft,0.0001,0.0001,124814856,64,2,0.5,0.75,1.0,4,mIoU,46.89,46.75,47.16,checkpoints/evan_mixmatch_dfc2020_s1_20260915_230359.pt,clstoken,True
evan_base,s2_rgb,fft,0.0005,0.0001,125011464,64,2,0.5,0.75,0.5,4,mIoU,57.66,58.25,58.01,checkpoints/evan_mixmatch_dfc2020_s2_rgb_20260915_230354.pt,clstoken,True
evan_base,s2_norgb,fft,0.0001,0.0001,126387720,64,2,0.5,0.75,1.0,4,mIoU,54.66,55.32,55.36,checkpoints/evan_mixmatch_dfc2020_s2_norgb_20260915_225944.pt,clstoken,True
evan_base,s2_rgb,fft,0.0001,0.0001,125011464,64,2,0.5,0.75,0.5,4,mIoU,58.27,59.76,59.11,checkpoints/evan_mixmatch_dfc2020_s2_rgb_20260915_230436.pt,clstoken,True
evan_base,s2_norgb,fft,0.0005,0.0001,126387720,64,2,0.5,0.75,1.0,4,mIoU,55.81,55.85,56.10,checkpoints/evan_mixmatch_dfc2020_s2_norgb_20260915_230514.pt,clstoken,True
evan_base,s2_rgb,fft,0.0005,0.0001,125011464,64,2,0.5,0.75,1.0,4,mIoU,49.87,49.58,49.97,checkpoints/evan_mixmatch_dfc2020_s2_rgb_20260915_230437.pt,clstoken,True
