model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,0.5,1.0,regular,kd,mAP,49.23,48.65,49.07,8,,48.06,48.31,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,1.0,1.0,regular,kd,mAP,49.23,48.31,48.75,9,,47.96,47.83,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,2.0,1.0,regular,kd,mAP,49.23,48.34,48.85,7,,47.93,48.08,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,0.5,1.0,regular,ttm,mAP,49.23,48.53,48.92,12,,48.10,48.22,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,1.0,1.0,regular,ttm,mAP,49.23,49.86,50.06,11,,48.30,48.25,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.001,109120531,16,2.0,1.0,regular,ttm,mAP,49.23,48.83,48.98,12,,48.98,48.54,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.0003,109120531,16,0.5,1.0,regular,kd,mAP,49.23,48.80,48.81,5,,48.61,48.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.0003,109120531,16,1.0,1.0,regular,kd,mAP,49.23,50.03,50.07,14,,49.62,49.55,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.0003,109120531,16,2.0,1.0,regular,kd,mAP,49.23,48.97,49.08,8,,49.67,49.56,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.0003,109120531,16,0.5,1.0,regular,ttm,mAP,49.23,48.73,48.89,6,,49.33,49.27,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
evan_base,s1,s1+s2,fft,0,fft,0.0003,109120531,16,1.0,1.0,regular,ttm,mAP,49.23,48.93,49.70,6,,49.52,48.72,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt,False
