model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,0.5,1.0,regular,ttm,mAP,49.23,49.82,50.01,11,,53.05,52.87,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,2.0,1.0,regular,kd,mAP,49.23,49.35,50.15,8,,53.00,52.65,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.001,87453715,16,1.0,1.0,regular,ttm,mAP,49.23,49.66,50.31,7,,52.98,52.76,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,2.0,1.0,regular,ttm,mAP,49.23,49.12,49.48,13,,52.80,52.59,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.001,87453715,16,0.5,1.0,regular,kd,mAP,49.23,48.13,49.60,10,,52.61,52.41,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.001,87453715,16,1.0,1.0,regular,kd,mAP,49.23,48.65,50.53,9,,52.55,52.30,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,0.5,1.0,regular,kd,mAP,49.23,48.56,49.74,6,,52.48,52.25,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.001,87453715,16,2.0,1.0,regular,kd,mAP,49.23,48.42,49.51,13,,52.44,52.28,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.001,87453715,16,2.0,1.0,regular,ttm,mAP,49.23,47.91,48.48,10,,52.39,52.23,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,1.0,1.0,regular,kd,mAP,49.23,49.17,50.11,9,,52.22,52.71,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
evan_base,s1,s2,fft,0,fft,0.0003,87453715,16,1.0,1.0,regular,ttm,mAP,49.23,46.27,47.83,7,,51.89,51.66,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
