model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,0.5,1.0,regular,ttm,mAP,63.37,49.26,49.74,16,50.75,64.63,60.21,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,2.0,1.0,regular,ttm,mAP,63.37,48.98,48.98,16,52.30,64.45,61.41,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.001,85487635,16,0.5,1.0,regular,ttm,mAP,63.37,44.87,46.93,16,49.60,64.36,58.58,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.001,85487635,16,0.5,1.0,regular,kd,mAP,63.37,46.11,47.78,16,49.75,64.18,58.92,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.001,85487635,16,1.0,1.0,regular,kd,mAP,63.37,45.41,47.20,16,49.65,64.08,59.09,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,1.0,1.0,regular,kd,mAP,63.37,47.09,48.20,16,50.90,63.67,59.84,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.001,85487635,16,1.0,1.0,regular,ttm,mAP,63.37,45.74,47.89,16,51.05,63.59,58.92,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,2.0,1.0,regular,kd,mAP,63.37,49.63,49.80,16,52.20,63.52,61.52,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,0.5,1.0,regular,kd,mAP,65.71,50.00,50.12,10,,63.33,63.25,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.001,85487635,16,2.0,1.0,regular,kd,mAP,63.37,46.39,47.46,16,51.80,63.26,60.58,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt,True
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85487635,16,0.5,1.0,regular,ttm,mAP,65.71,49.03,49.11,14,,62.79,62.93,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt,True
