model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,1.0,1.0,regular,ttm,mAP,63.37,56.99,57.15,16,,65.08,62.84,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,2.0,1.0,regular,ttm,mAP,63.37,58.04,58.22,16,,65.07,63.55,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,0.5,1.0,regular,kd,mAP,63.37,57.51,57.79,16,,64.92,62.60,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,1.0,1.0,regular,kd,mAP,63.37,56.79,57.33,16,,64.89,62.51,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,2.0,1.0,regular,kd,mAP,63.37,57.79,57.95,16,,64.88,63.22,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,1.0,1.0,regular,kd,mAP,63.37,58.74,59.13,16,,64.85,63.20,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,86863891,16,0.5,1.0,regular,ttm,mAP,63.37,56.42,56.46,16,,64.70,62.00,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,1.0,1.0,regular,ttm,mAP,63.37,56.43,57.54,16,,64.69,62.26,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,0.5,1.0,regular,ttm,mAP,63.37,56.18,56.96,16,,64.61,61.64,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,0.5,1.0,regular,kd,mAP,63.37,54.79,55.04,16,,64.57,61.23,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,2.0,1.0,regular,kd,mAP,63.37,56.66,56.67,16,,64.50,62.79,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,86863891,16,2.0,1.0,regular,ttm,mAP,63.37,56.88,57.46,16,,64.46,62.91,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260418_071437.pt
