model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,0.5,1.0,regular,ttm,mAP,64.98,53.16,53.26,12,,66.21,63.14,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,0.5,1.0,regular,kd,mAP,64.98,52.97,53.09,12,,66.13,62.86,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,0.5,1.0,regular,ttm,mAP,64.98,49.81,49.90,14,,65.97,62.28,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,1.0,1.0,regular,ttm,mAP,64.98,53.23,53.33,11,,65.87,64.10,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,1.0,1.0,regular,kd,mAP,64.98,53.39,53.53,13,,65.76,63.64,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,1.0,1.0,regular,kd,mAP,64.98,53.18,53.36,11,,65.59,63.95,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,0.5,1.0,regular,kd,mAP,64.98,52.07,52.19,13,,65.38,62.74,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,1.0,1.0,regular,ttm,mAP,64.98,51.49,51.54,14,,65.37,63.25,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,2.0,1.0,regular,kd,mAP,64.98,54.16,54.25,13,,65.35,64.55,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,2.0,1.0,regular,ttm,mAP,64.98,50.96,51.11,12,,64.88,63.36,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.001,302911507,16,2.0,1.0,regular,kd,mAP,64.98,51.00,51.67,8,,64.68,63.65,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
evan_large,s2,s1,fft,0,fft,0.0003,302911507,16,2.0,1.0,regular,ttm,mAP,64.98,52.92,53.07,12,,64.43,64.46,,,,,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260418_053837.pt,True
