model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,0.5,1.0,regular,kd,mIoU,45.85,37.11,40.32,6,,46.45,42.42,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,0.5,1.0,regular,ttm,mIoU,45.85,50.29,51.21,13,,46.10,42.31,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,0.5,1.0,regular,kd,mIoU,45.85,48.55,50.72,10,,43.40,39.94,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,2.0,1.0,regular,ttm,mIoU,45.85,42.55,47.97,5,,42.52,38.88,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,2.0,1.0,regular,kd,mIoU,45.85,45.90,49.21,3,,40.55,36.08,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,1.0,1.0,regular,kd,mIoU,45.85,42.41,46.09,6,,40.52,36.89,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,0.5,1.0,regular,ttm,mIoU,45.85,39.45,43.34,5,,39.56,35.12,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,2.0,1.0,regular,kd,mIoU,45.85,42.54,49.63,11,,38.90,37.54,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,1.0,1.0,regular,ttm,mIoU,45.85,39.11,50.15,9,,36.59,41.07,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,1.0,1.0,regular,ttm,mIoU,45.85,47.48,51.11,7,,33.94,34.14,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.001,109308680,16,1.0,1.0,regular,kd,mIoU,45.85,50.40,50.40,16,,27.92,28.34,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
evan_base,s2_rgb,s1+s2,fft,0,fft,0.0003,109308680,16,2.0,1.0,regular,ttm,mIoU,45.85,47.59,49.42,6,,25.07,24.13,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt,False
