model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,2.0,1.0,regular,kd,mIoU,45.85,45.07,45.96,10,,51.08,49.41,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,1.0,1.0,regular,kd,mIoU,45.85,44.59,45.58,8,,50.95,49.10,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,1.0,1.0,regular,ttm,mIoU,45.85,45.10,45.42,12,,50.93,48.94,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,1.0,1.0,regular,kd,mIoU,45.85,42.30,42.30,16,,50.85,48.47,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,2.0,1.0,regular,ttm,mIoU,45.85,44.36,44.71,12,,50.51,48.73,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,0.5,1.0,regular,kd,mIoU,45.85,43.54,44.82,7,,50.06,48.57,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,0.5,1.0,regular,kd,mIoU,45.85,43.35,43.67,12,,49.88,48.16,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.0003,85479176,16,0.5,1.0,regular,ttm,mIoU,45.85,43.28,45.18,9,,49.88,47.94,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,1.0,1.0,regular,ttm,mIoU,45.85,39.72,41.85,8,,49.76,47.01,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,0.5,1.0,regular,ttm,mIoU,45.85,41.71,43.95,12,,49.56,47.95,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,2.0,1.0,regular,kd,mIoU,45.85,41.21,41.42,15,,49.51,47.08,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s1,fft,0,fft,0.001,85479176,16,2.0,1.0,regular,ttm,mIoU,45.85,42.16,43.31,15,,49.42,47.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
