model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,2.0,1.0,regular,ttm,mIoU,48.76,47.22,50.57,16,,52.71,49.20,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,1.0,1.0,regular,kd,mIoU,48.76,48.67,48.67,16,89.39,52.55,50.42,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,1.0,1.0,regular,ttm,mIoU,48.76,48.90,49.05,16,89.08,52.45,50.29,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,0.5,1.0,regular,ttm,mIoU,48.76,49.11,49.11,16,,52.24,50.31,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,2.0,1.0,regular,kd,mIoU,48.76,44.26,45.06,16,,51.97,48.01,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,1.0,1.0,regular,kd,mIoU,48.76,40.39,44.76,16,,51.96,46.39,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,1.0,1.0,regular,ttm,mIoU,48.76,47.12,48.94,16,,51.49,49.16,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,0.5,1.0,regular,ttm,mIoU,48.76,40.12,43.13,16,88.88,51.45,48.01,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,0.5,1.0,regular,kd,mIoU,48.76,42.40,48.33,16,,51.36,48.56,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,87052040,16,2.0,1.0,regular,kd,mIoU,48.76,39.26,45.95,16,89.47,51.25,45.18,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,2.0,1.0,regular,kd,mIoU,48.76,43.18,43.41,16,89.58,51.13,46.77,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,87052040,16,2.0,1.0,regular,ttm,mIoU,48.76,41.93,48.79,16,89.78,51.04,46.05,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,87052040,16,2.0,1.0,regular,ttm,mIoU,48.76,45.02,47.62,16,,50.96,47.85,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.001,87052040,16,2.0,1.0,regular,kd,mIoU,48.76,43.05,43.07,16,,50.95,47.05,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
evan_base,s2_rgb,s2_norgb,fft,0,fft,0.0003,87052040,16,2.0,1.0,regular,ttm,mIoU,48.76,45.36,50.61,16,89.60,50.89,47.72,,,,,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt,True
