model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,2.0,1.0,regular,ttm,mIoU,44.03,50.49,53.38,2,,49.37,48.99,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,2.0,1.0,regular,kd,mIoU,44.03,48.50,49.76,11,,49.10,48.41,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,2.0,1.0,regular,ttm,mIoU,44.03,46.75,49.41,10,,48.57,48.09,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,1.0,1.0,regular,ttm,mIoU,44.03,47.97,50.32,5,,48.32,47.83,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,2.0,1.0,regular,kd,mIoU,44.03,40.84,53.09,1,,47.68,46.93,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,1.0,1.0,regular,ttm,mIoU,44.03,44.17,47.96,9,,47.63,46.95,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,1.0,1.0,regular,kd,mIoU,44.03,42.58,50.66,1,,47.57,46.96,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,0.5,1.0,regular,kd,mIoU,44.03,48.34,50.10,7,,47.25,46.77,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,1.0,1.0,regular,kd,mIoU,44.03,40.97,49.78,8,,47.10,46.61,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.0003,305783816,16,0.5,1.0,regular,ttm,mIoU,44.03,43.46,50.87,3,,46.90,46.31,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,0.5,1.0,regular,ttm,mIoU,44.03,38.65,50.27,1,,46.25,45.85,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
evan_large,s1,s2,fft,0,fft,0.001,305783816,16,0.5,1.0,regular,kd,mIoU,44.03,38.54,49.86,11,,45.99,45.79,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.001_20260418_073032.pt,True
