model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,2.0,1.0,regular,kd,mIoU,50.72,47.05,47.27,9,,51.76,51.14,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,2.0,1.0,regular,ttm,mIoU,50.72,47.00,47.51,12,,51.67,51.15,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,0.5,1.0,regular,ttm,mIoU,50.72,45.58,46.18,12,,51.65,51.67,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,0.5,1.0,regular,kd,mIoU,50.72,41.45,42.16,10,,51.59,51.39,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,1.0,1.0,regular,ttm,mIoU,50.72,46.25,46.55,15,,51.57,51.12,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,1.0,1.0,regular,kd,mIoU,50.72,46.55,46.95,13,,51.51,51.23,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,0.5,1.0,regular,ttm,mIoU,50.72,39.44,43.68,1,,51.42,51.28,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.0003,302900232,16,0.5,1.0,regular,kd,mIoU,50.72,45.42,45.42,16,,51.39,51.38,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,2.0,1.0,regular,kd,mIoU,50.72,44.65,45.43,12,,51.27,51.06,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,1.0,1.0,regular,kd,mIoU,50.72,43.13,43.75,15,,51.16,51.14,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,1.0,1.0,regular,ttm,mIoU,50.72,42.21,43.83,13,,50.73,50.32,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s2,s1,fft,0,fft,0.001,302900232,16,2.0,1.0,regular,ttm,mIoU,50.72,43.42,45.07,13,,50.72,50.38,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
