model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,1.0,1.0,regular,ttm,mIoU,48.79,45.19,46.12,8,,51.96,50.90,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,1.0,1.0,regular,kd,mIoU,48.79,46.30,46.74,13,,51.94,50.95,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,0.5,1.0,regular,ttm,mIoU,48.79,46.20,46.30,15,,51.94,50.80,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,2.0,1.0,regular,ttm,mIoU,48.79,46.93,47.94,8,,51.81,50.91,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,2.0,1.0,regular,kd,mIoU,48.79,46.71,47.33,8,,51.68,50.47,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.0003,302900232,16,0.5,1.0,regular,kd,mIoU,48.79,45.35,45.91,10,,51.68,50.64,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,1.0,1.0,regular,kd,mIoU,48.79,44.47,44.49,14,,51.60,50.53,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,0.5,1.0,regular,ttm,mIoU,48.79,41.64,42.46,1,,51.49,50.22,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,1.0,1.0,regular,ttm,mIoU,48.79,43.60,44.06,5,,51.46,50.40,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,0.5,1.0,regular,kd,mIoU,48.79,41.68,42.78,11,,51.17,50.02,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,2.0,1.0,regular,ttm,mIoU,48.79,44.20,46.12,8,,51.15,50.35,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
evan_large,s2_rgb,s1,fft,0,fft,0.001,302900232,16,2.0,1.0,regular,kd,mIoU,48.79,44.59,45.10,12,,50.90,50.16,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt,True
