model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,2.0,1.0,regular,kd,mIoU,43.62,48.88,50.29,16,,49.65,47.22,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,2.0,1.0,regular,kd,mIoU,43.62,49.97,51.31,16,,48.97,47.21,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,2.0,1.0,regular,ttm,mIoU,43.62,46.92,50.32,16,,48.53,44.95,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,1.0,1.0,regular,kd,mIoU,43.62,48.80,50.19,16,,48.44,45.74,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,1.0,1.0,regular,ttm,mIoU,43.62,50.12,50.76,16,,48.12,46.58,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,1.0,1.0,regular,ttm,mIoU,43.62,48.05,48.81,16,,48.01,45.56,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,0.5,1.0,regular,kd,mIoU,43.62,49.75,50.39,16,,47.77,45.64,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,1.0,1.0,regular,kd,mIoU,43.62,44.73,52.79,16,,47.56,44.04,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.0003,304997384,16,0.5,1.0,regular,ttm,mIoU,43.62,47.74,47.80,16,,47.19,44.82,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,0.5,1.0,regular,ttm,mIoU,43.62,42.79,44.06,16,,46.34,43.76,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,2.0,1.0,regular,ttm,mIoU,43.62,39.63,44.00,16,,46.02,42.35,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
evan_large,s2_rgb,s2_norgb,fft,0,fft,0.001,304997384,16,0.5,1.0,regular,kd,mIoU,43.62,45.14,46.79,16,,45.82,44.15,,,,,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260418_075014.pt,True
