model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,ttm,Acc,80.91,84.41,85.43,16,75.41,86.59,85.93,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,kd,Acc,80.91,83.43,83.98,16,75.37,86.35,85.81,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,kd,Acc,80.91,82.00,82.72,16,72.48,86.20,85.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,ttm,Acc,80.91,80.83,82.09,16,71.44,85.91,85.22,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,kd,Acc,80.91,83.33,83.74,16,74.33,85.37,84.94,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,ttm,Acc,80.91,83.37,83.39,16,73.59,85.13,84.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,ttm,Acc,80.91,82.02,82.26,16,71.48,84.89,84.15,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,kd,Acc,80.91,80.87,82.22,16,71.81,84.74,84.24,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,ttm,Acc,80.91,83.54,83.61,16,73.07,83.96,83.17,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,kd,Acc,80.91,82.15,84.41,16,71.26,83.56,82.89,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,kd,Acc,80.91,79.81,81.19,16,71.26,83.26,82.59,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
evan_base,nir,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,ttm,Acc,80.91,72.96,72.96,16,63.93,82.02,81.54,,,,,clstoken,checkpoints/sft_evan_base_eurosat_nir_fft_lr0.001_20260422_043429.pt,True
