model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,ttm,Acc,98.63,71.28,71.89,12,,98.76,98.65,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,kd,Acc,98.63,68.48,69.22,12,,98.74,98.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,kd,Acc,98.63,87.09,87.09,16,,98.74,98.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,ttm,Acc,98.63,77.30,77.89,12,,98.72,98.63,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,kd,Acc,98.63,70.72,70.72,16,,98.72,98.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,kd,Acc,98.63,68.91,69.28,15,,98.69,98.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,ttm,Acc,98.63,70.04,70.31,14,,98.61,98.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,ttm,Acc,98.63,85.93,85.98,15,,98.56,98.50,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,ttm,Acc,98.63,73.07,73.07,16,,98.28,98.48,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,kd,Acc,98.63,76.26,76.96,15,,97.98,98.28,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,ttm,Acc,98.63,79.20,79.44,15,,97.91,98.33,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,kd,Acc,98.63,71.02,71.35,15,,97.69,98.11,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
