model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,1.0,1.0,regular,kd,Acc,98.63,93.22,93.31,16,,98.83,98.78,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,0.5,1.0,regular,ttm,Acc,98.63,91.67,92.20,16,,98.81,98.78,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,1.0,1.0,regular,ttm,Acc,98.63,92.44,92.44,16,,98.80,98.80,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,0.5,1.0,regular,ttm,Acc,98.63,92.98,92.98,16,,98.80,98.76,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,0.5,1.0,regular,kd,Acc,98.63,90.06,90.17,16,,98.78,98.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,1.0,1.0,regular,ttm,Acc,98.63,94.78,94.78,16,,98.76,98.81,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,0.5,1.0,regular,kd,Acc,98.63,92.65,92.70,16,,98.76,98.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,1.0,1.0,regular,kd,Acc,98.63,92.09,92.09,16,,98.67,98.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,2.0,1.0,regular,kd,Acc,98.63,94.06,94.07,16,,98.61,98.52,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,2.0,1.0,regular,ttm,Acc,98.63,93.02,93.13,16,,98.56,98.52,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.0003,87643402,16,2.0,1.0,regular,ttm,Acc,98.63,93.30,93.46,16,,98.56,98.48,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,s2,fft,0,fft,0.001,87643402,16,2.0,1.0,regular,kd,Acc,98.63,93.35,93.35,16,,98.54,98.46,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
