model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,ttm,Acc,98.63,86.15,86.15,16,,98.78,98.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,kd,Acc,98.63,87.67,87.70,15,,98.76,98.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,kd,Acc,98.63,84.93,85.69,14,,98.74,98.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,kd,Acc,98.63,87.28,87.41,16,,98.72,98.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,ttm,Acc,98.63,88.76,88.80,15,,98.72,98.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,kd,Acc,98.63,87.52,87.52,16,,98.69,98.69,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,ttm,Acc,98.63,90.94,91.06,13,,98.67,98.65,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,ttm,Acc,98.63,86.09,86.09,16,,98.59,98.61,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,ttm,Acc,98.63,86.85,86.96,14,,98.17,98.43,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,ttm,Acc,98.63,88.94,89.02,15,,98.17,98.31,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,kd,Acc,98.63,88.33,88.61,13,,98.17,98.28,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
evan_base,rgb,vre,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,kd,Acc,98.63,86.81,86.87,16,,97.50,97.85,,,,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt,True
