model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,kd,Acc,96.35,88.56,88.56,16,,96.65,96.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,kd,Acc,96.35,89.57,89.57,16,,96.85,96.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,kd,Acc,96.35,88.78,88.78,16,,96.17,95.98,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,ttm,Acc,96.35,91.39,91.43,16,,96.65,96.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,ttm,Acc,96.35,86.31,86.33,16,,96.63,96.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,ttm,Acc,96.35,90.87,90.87,16,,96.74,96.63,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,kd,Acc,96.35,92.44,92.46,16,,96.67,96.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,kd,Acc,96.35,93.61,93.65,16,,96.96,96.87,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,kd,Acc,96.35,93.78,93.78,16,,96.93,96.83,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
evan_base,s2,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,ttm,Acc,96.35,92.78,92.78,16,,96.70,96.54,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt
