model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,kd,Acc,96.35,88.44,88.44,16,,96.44,96.41,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,kd,Acc,96.35,85.65,85.65,16,,95.98,96.13,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,kd,Acc,96.35,86.24,86.31,16,,95.39,95.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,ttm,Acc,96.35,87.94,87.94,16,,96.37,96.26,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,ttm,Acc,96.35,87.89,87.89,16,,96.20,96.30,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,ttm,Acc,96.35,87.52,87.59,16,,95.57,95.80,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,kd,Acc,96.35,89.91,89.91,16,,96.50,96.44,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,kd,Acc,96.35,89.35,89.35,16,,96.35,96.30,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,kd,Acc,96.35,90.13,90.13,16,,95.89,95.72,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,ttm,Acc,96.35,89.91,89.96,16,,96.56,96.44,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
evan_base,s2,vre,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,ttm,Acc,96.35,89.98,90.04,16,,96.07,96.11,,,,,clstoken,checkpoints/sft_evan_base_eurosat_s2_fft_lr0.0005_20260418_044659.pt,True
