model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,ttm,Acc,88.57,77.89,77.89,16,,90.69,89.85,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,ttm,Acc,88.57,75.98,76.13,16,,90.59,89.93,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,ttm,Acc,88.57,75.80,75.80,16,,90.44,89.83,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,kd,Acc,88.57,71.06,71.61,16,,90.37,89.48,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,kd,Acc,88.57,73.54,73.63,16,,90.35,89.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,kd,Acc,88.57,75.56,76.04,16,,90.13,89.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,kd,Acc,88.57,73.13,74.76,16,,90.09,89.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,ttm,Acc,88.57,71.44,72.39,16,,89.94,89.22,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,kd,Acc,88.57,69.11,69.11,16,,89.94,89.43,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,kd,Acc,88.57,68.70,68.80,16,,89.81,89.33,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,ttm,Acc,88.57,68.93,68.93,16,,89.69,89.22,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,ttm,Acc,88.57,64.65,64.65,16,,88.96,88.89,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
