model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,ttm,Acc,88.57,88.41,88.41,16,,91.98,91.46,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,2.0,1.0,regular,kd,Acc,88.57,89.52,89.57,16,,91.89,91.67,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,ttm,Acc,88.57,89.44,89.44,16,,91.72,91.22,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,kd,Acc,88.57,85.02,85.17,16,,91.57,91.13,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,1.0,1.0,regular,kd,Acc,88.57,89.11,89.11,16,,91.54,91.02,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,ttm,Acc,88.57,86.35,86.44,16,,91.37,90.78,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,2.0,1.0,regular,ttm,Acc,88.57,80.65,80.65,16,,91.31,90.54,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,1.0,1.0,regular,kd,Acc,88.57,86.26,86.30,16,,91.26,90.57,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,kd,Acc,88.57,87.80,87.94,16,,90.70,90.26,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.0003,85677322,16,0.5,1.0,regular,ttm,Acc,88.57,87.52,87.52,16,,90.54,90.07,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,ttm,Acc,88.57,79.96,79.96,16,,90.22,89.56,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
evan_base,swir,rgb,fft,0,fft,0.001,85677322,16,0.5,1.0,regular,kd,Acc,88.57,83.89,83.89,16,,90.20,89.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt,True
