model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,kd,Acc,90.65,77.93,77.98,16,,91.69,91.31,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,0.5,1.0,regular,ttm,Acc,90.65,75.94,75.96,16,,91.57,91.24,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,ttm,Acc,90.65,77.59,77.59,16,,91.48,91.02,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,1.0,1.0,regular,kd,Acc,90.65,76.28,76.41,16,,91.48,90.85,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,kd,Acc,90.65,79.59,79.70,16,,91.44,90.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,kd,Acc,90.65,72.00,72.00,16,,91.33,91.09,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,ttm,Acc,90.65,73.06,73.13,16,,91.19,90.74,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,0.5,1.0,regular,ttm,Acc,90.65,68.78,68.78,16,,91.15,90.91,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,1.0,1.0,regular,kd,Acc,90.65,69.81,69.81,16,,91.11,90.70,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.0003,85480714,16,2.0,1.0,regular,ttm,Acc,90.65,78.67,78.91,16,,90.80,90.35,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,ttm,Acc,90.65,69.52,70.07,16,,90.48,90.17,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
evan_base,vre,nir,fft,0,fft,0.001,85480714,16,2.0,1.0,regular,kd,Acc,90.65,70.50,71.80,16,,89.89,89.39,,,,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt,True
