model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,ttm,Acc,99.09,87.09,87.26,14,,99.19,99.09,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,kd,Acc,99.09,88.57,88.57,15,,99.17,99.19,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,ttm,Acc,99.09,96.09,96.09,16,,99.15,99.13,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,ttm,Acc,99.09,94.24,94.41,13,,99.11,99.11,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,kd,Acc,99.07,91.33,91.33,16,,99.09,98.98,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt,True
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,kd,Acc,99.09,96.24,96.26,15,,99.09,99.07,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,kd,Acc,99.09,96.61,96.63,12,,99.09,99.15,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,ttm,Acc,99.09,91.63,91.67,14,,99.02,99.06,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,ttm,Acc,99.09,96.50,96.57,14,,99.02,98.96,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,kd,Acc,99.09,96.09,96.09,16,,99.02,98.96,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,ttm,Acc,99.09,94.94,94.94,16,,98.87,98.89,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
evan_large,rgb,vre,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,kd,Acc,99.09,90.50,90.59,15,,98.57,98.59,,,,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt,True
