model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,ttm,Acc,95.57,96.41,96.44,16,,96.80,96.87,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,kd,Acc,95.57,96.30,96.31,16,,96.72,96.67,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,kd,Acc,95.57,95.93,95.93,16,,96.69,96.72,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,ttm,Acc,95.57,96.11,96.13,16,,96.59,96.63,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,ttm,Acc,95.57,95.81,95.96,16,,96.37,96.37,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,kd,Acc,95.57,95.98,95.98,16,,96.37,96.26,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,kd,Acc,95.57,89.87,92.96,16,,96.30,96.26,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,ttm,Acc,95.57,85.50,93.24,16,,96.19,96.04,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,kd,Acc,95.57,86.87,93.11,16,,96.17,96.04,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,kd,Acc,95.57,89.67,92.74,16,,96.13,96.06,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,ttm,Acc,95.57,85.59,92.41,16,,96.02,96.02,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt,True
evan_large,swir,vre,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,ttm,Acc,95.57,86.80,92.59,16,,95.46,95.48,,,,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
