model_type,teacher_modality,student_modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,kd,Acc,96.30,96.39,96.44,13,,97.56,97.56,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,kd,Acc,96.30,96.50,96.54,13,,97.39,97.37,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,2.0,1.0,regular,ttm,Acc,96.30,96.52,96.52,16,,97.37,97.37,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,1.0,1.0,regular,ttm,Acc,96.30,95.85,95.93,13,,97.33,97.37,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,kd,Acc,96.35,95.02,95.02,16,,97.24,97.19,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,kd,Acc,96.30,95.70,95.83,13,,97.09,97.02,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,1.0,1.0,regular,ttm,Acc,96.30,94.22,94.35,13,,97.04,96.96,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.0003,303164426,16,0.5,1.0,regular,ttm,Acc,96.30,96.65,96.67,13,,97.04,96.94,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,kd,Acc,96.35,92.85,92.89,16,,96.93,96.87,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,0.5,1.0,regular,ttm,Acc,96.30,91.54,91.72,13,,96.91,96.87,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,kd,Acc,96.30,89.31,90.69,1,,96.67,96.44,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
evan_large,vre,rgb,fft,0,fft,0.001,303164426,16,2.0,1.0,regular,ttm,Acc,96.30,83.26,83.74,14,,96.02,96.13,,,,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260417_231826.pt
