model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,kd,mAP,63.43,48.53,48.53,20,60.10,61.98,61.07,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,48.38,48.66,20,60.05,60.54,60.81,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,kd,mAP,63.43,49.73,49.78,20,60.85,61.77,61.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,63.43,50.22,50.23,20,61.50,62.36,61.57,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.001,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,46.43,47.84,20,58.35,60.64,60.45,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,0.5,1.0,regular,kd,mAP,63.43,58.74,58.77,20,71.75,63.69,63.48,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.001,0.01,85487635,20,1.0,1.0,regular,kd,mAP,63.43,45.96,47.53,20,59.00,61.03,60.54,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,59.16,59.81,20,73.00,63.86,63.64,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,1.0,1.0,regular,kd,mAP,63.43,59.65,59.70,20,73.35,64.17,64.01,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,ttm,mAP,63.43,49.87,49.98,20,60.80,61.97,61.74,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
evan_base,s2_rgb,s2_norgb,fft,0.001,0.01,86863891,20,0.5,1.0,regular,kd,mAP,63.43,58.17,58.18,20,70.50,64.21,63.62,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True
