model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher,seed
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,62.40,52.02,52.22,20,62.10,61.98,62.26,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,2
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,62.40,51.16,51.48,20,61.40,62.18,61.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,1
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,1.0,1.0,regular,ttm,mAP,44.43,49.09,49.91,20,62.00,49.37,49.06,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,1
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,1.0,1.0,regular,ttm,mAP,44.43,48.06,48.47,20,61.40,49.34,48.98,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,2
evan_base,s1,s2,fft,0.001,0.01,87453715,20,1.0,1.0,regular,kd,mAP,44.43,46.63,48.90,20,60.80,48.66,48.37,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,1
evan_base,s1,s2,fft,0.001,0.01,87453715,20,1.0,1.0,regular,kd,mAP,44.43,47.27,49.73,20,61.40,48.90,48.90,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,58.95,58.98,20,74.25,63.70,63.66,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,63.43,48.46,48.52,20,59.75,62.42,61.61,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,kd,mAP,62.40,52.56,52.93,20,61.50,62.43,62.26,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,1
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,62.40,49.89,50.48,20,61.85,61.47,61.85,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,0
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,1.0,1.0,regular,kd,mAP,62.40,51.47,51.49,20,62.20,63.22,62.59,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,1.0,1.0,regular,kd,mAP,63.43,59.54,59.60,20,72.35,64.39,64.03,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,58.64,58.71,20,72.45,63.57,63.58,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,1.0,1.0,regular,kd,mAP,63.43,59.63,59.63,20,72.70,64.38,63.89,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s1,s2,fft,0.001,0.01,87453715,20,1.0,1.0,regular,kd,mAP,44.43,45.63,48.82,20,60.80,48.56,48.23,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,2
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,0.5,1.0,regular,ttm,mAP,63.43,48.67,48.83,20,58.85,62.21,61.35,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
