model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher,seed
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,63.43,49.37,49.46,20,60.75,61.05,61.19,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,48.34,48.98,20,60.30,60.83,61.04,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,63.43,48.34,48.98,20,60.30,60.83,61.04,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,49.37,49.46,20,60.75,61.05,61.19,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,63.43,49.63,49.65,20,59.60,61.39,61.56,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,59.20,59.20,20,73.85,63.66,63.67,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,49.63,49.65,20,59.60,61.39,61.56,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,59.91,59.96,20,73.60,64.15,64.01,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,57.89,58.03,20,71.15,63.69,63.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,59.20,59.20,20,73.85,63.66,63.67,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,57.89,58.03,20,71.15,63.69,63.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,47.45,49.23,20,61.55,49.01,48.71,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,0
