model_type,teacher_modality,student_modality,train_mode,learning_rate,weight_decay,trainable_params,epoch,temperature,alpha,distillation_mode,kl_type,metric_name,teacher_test_metric,test_metric,best_test_metric(oracle),best_epoch,best_val_agreement,ensemble_metric_logits,ensemble_metric_softmax,teacher_classifier_acc,supervised_classifier_acc,supervised_classifier_best_acc,saved_checkpoint,global_rep,teacher_checkpoint,init_from_teacher,seed
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,48.42,48.62,20,60.45,60.84,61.10,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,49.52,49.85,20,62.10,61.42,61.22,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,63.43,49.06,49.21,20,61.00,61.32,61.07,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,63.43,49.52,49.85,20,62.10,61.42,61.22,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,ttm,mAP,63.43,49.06,49.21,20,61.00,61.32,61.07,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,58.64,58.71,20,72.45,63.57,63.58,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,58.95,58.98,20,74.25,63.70,63.66,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,kd,mAP,63.43,60.26,60.33,20,72.50,64.17,64.13,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,60.26,60.33,20,72.50,64.17,64.13,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,2
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,58.64,58.71,20,72.45,63.57,63.58,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,0
evan_base,s2_rgb,s2_norgb,fft,0.0003,0.01,86863891,20,2.0,1.0,regular,ttm,mAP,63.43,58.95,58.98,20,74.25,63.70,63.66,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,True,1
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,47.48,49.83,20,61.40,49.09,48.76,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,0
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,62.40,52.02,52.22,20,62.10,61.98,62.26,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,2
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,46.54,48.50,20,60.70,48.73,48.43,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,1
evan_base,s1,s2,fft,0.001,0.01,87453715,20,2.0,1.0,regular,kd,mAP,44.43,46.79,48.96,20,62.15,49.09,48.72,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,2
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,2.0,1.0,regular,ttm,mAP,44.43,47.29,48.35,20,62.05,49.09,48.80,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,0
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,2.0,1.0,regular,ttm,mAP,44.43,47.27,47.62,20,61.25,49.02,48.59,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,2
evan_base,s1,s2,fft,0.0003,0.01,87453715,20,2.0,1.0,regular,ttm,mAP,44.43,48.41,48.77,20,61.45,49.41,48.93,,,,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,True,1
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,62.40,51.16,51.48,20,61.40,62.18,61.75,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,1
evan_base,s2,s1,fft,0.0003,0.01,85487635,20,2.0,1.0,regular,kd,mAP,62.40,49.89,50.48,20,61.85,61.47,61.85,,,,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,True,0
