model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_base,s1,fft,0.0003,0.0001,85487635,20,1.0,0.01,0.999,1.0,False,True,False,mAP,48.66,51.57,49.21,checkpoints/evan_freematch_benv2_s1_20260727_062956.pt,clstoken,True,False
evan_base,s2,fft,0.0003,0.0001,87453715,20,1.0,0.01,0.999,1.0,False,True,False,mAP,57.45,62.27,58.03,checkpoints/evan_freematch_benv2_s2_20260727_064923.pt,clstoken,True,False
evan_base,s2_rgb,fft,0.0003,0.0001,85684243,20,1.0,0.01,0.999,1.0,False,True,False,mAP,62.43,65.74,62.44,checkpoints/evan_freematch_benv2_s2_rgb_20260727_065609.pt,clstoken,True,False
evan_base,s1,fft,0.0003,0.0001,85487635,20,1.0,0.01,0.99,1.0,False,True,False,mAP,47.82,52.23,49.01,checkpoints/evan_freematch_benv2_s1_20260727_065356.pt,clstoken,True,False
evan_base,s2,fft,0.0003,0.0001,87453715,20,1.0,0.01,0.99,1.0,False,True,False,mAP,57.51,63.03,57.51,checkpoints/evan_freematch_benv2_s2_20260727_071216.pt,clstoken,True,False
evan_base,s1,fft,0.0003,0.0001,85487635,20,1.0,0.05,0.999,1.0,False,True,False,mAP,48.02,50.85,49.64,checkpoints/evan_freematch_benv2_s1_20260727_071758.pt,clstoken,True,False
evan_base,s1,fft,0.0003,0.0001,85487635,20,1.0,0.05,0.99,1.0,False,True,False,mAP,47.20,52.31,46.99,checkpoints/evan_freematch_benv2_s1_20260727_074158.pt,clstoken,True,False
evan_base,s1,fft,0.0004,0.0001,85487635,20,1.0,0.01,0.999,1.0,False,True,False,mAP,47.07,51.13,48.25,checkpoints/evan_freematch_benv2_s1_20260727_080635.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.01,0.99,1.0,False,True,False,mAP,57.73,62.80,58.61,checkpoints/evan_freematch_benv2_s2_20260727_081625.pt,clstoken,True,False
evan_base,s2,fft,0.0004,0.0001,87453715,20,1.0,0.05,0.999,1.0,False,True,False,mAP,56.46,60.73,56.56,checkpoints/evan_freematch_benv2_s2_20260727_083921.pt,clstoken,True,False
evan_base,s1,fft,0.0004,0.0001,85487635,20,1.0,0.05,0.999,1.0,False,True,False,mAP,47.70,50.98,47.32,checkpoints/evan_freematch_benv2_s1_20260727_085350.pt,clstoken,True,False
