model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_small,rgb,fft,0.0001,0.0001,21605002,5,1.0,0.01,0.999,1.0,False,True,False,Acc,98.13,98.04,98.13,checkpoints/evan_freematch_eurosat_rgb_20260726_233826.pt,clstoken,True,False
evan_large,swir,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.999,1.0,False,True,True,Acc,94.26,93.48,94.48,checkpoints/evan_freematch_eurosat_swir_20260727_075423.pt,clstoken,True,False
evan_large,rgb,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.999,1.0,False,True,True,Acc,98.19,97.63,98.35,checkpoints/evan_freematch_eurosat_rgb_20260727_075749.pt,clstoken,True,False
evan_large,vre,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.999,1.0,False,True,True,Acc,92.76,92.67,92.54,checkpoints/evan_freematch_eurosat_vre_20260727_075750.pt,clstoken,True,False
evan_large,nir,fft,0.0003,0.0001,302902282,20,1.0,0.05,0.999,1.0,False,True,True,Acc,91.98,92.07,92.11,checkpoints/evan_freematch_eurosat_nir_20260727_075740.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.01,0.999,1.0,False,True,False,Acc,79.81,79.37,79.78,checkpoints/evan_freematch_eurosat_nir_20260727_092031.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,97.57,97.22,97.39,checkpoints/evan_freematch_eurosat_rgb_20260727_091914.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,90.89,90.00,90.63,checkpoints/evan_freematch_eurosat_vre_20260727_092031.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,89.37,87.85,89.11,checkpoints/evan_freematch_eurosat_swir_20260727_092031.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,90.65,94.78,95.61,checkpoints/evan_freematch_eurosat_rgb_20260727_092550.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,89.30,88.63,89.30,checkpoints/evan_freematch_eurosat_vre_20260727_092830.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.01,0.999,1.0,False,True,True,Acc,72.83,72.63,72.81,checkpoints/evan_freematch_eurosat_nir_20260727_093500.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,True,Acc,86.93,86.67,86.93,checkpoints/evan_freematch_eurosat_swir_20260727_093743.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.01,0.99,1.0,False,True,False,Acc,77.80,77.52,77.31,checkpoints/evan_freematch_eurosat_nir_20260727_095619.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,90.96,90.70,90.96,checkpoints/evan_freematch_eurosat_vre_20260727_095728.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,90.11,89.07,89.74,checkpoints/evan_freematch_eurosat_swir_20260727_095803.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,97.44,97.22,97.46,checkpoints/evan_freematch_eurosat_rgb_20260727_095726.pt,clstoken,True,False
evan_large,rgb,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,False,Acc,98.11,97.85,97.98,checkpoints/evan_freematch_eurosat_rgb_20260727_085516.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,91.81,93.30,93.87,checkpoints/evan_freematch_eurosat_rgb_20260727_100219.pt,clstoken,True,False
evan_base,vre,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,90.57,90.19,90.59,checkpoints/evan_freematch_eurosat_vre_20260727_100432.pt,clstoken,True,False
evan_base,nir,fft,0.0003,0.0001,85480714,20,1.0,0.01,0.99,1.0,False,True,True,Acc,81.67,81.26,81.67,checkpoints/evan_freematch_eurosat_nir_20260727_100922.pt,clstoken,True,False
evan_large,nir,fft,0.0003,0.0001,302902282,20,1.0,0.05,0.99,1.0,False,True,False,Acc,80.11,78.52,80.20,checkpoints/evan_freematch_eurosat_nir_20260727_090456.pt,clstoken,True,False
evan_large,swir,fft,0.0003,0.0001,303164426,20,1.0,0.05,0.99,1.0,False,True,False,Acc,95.52,95.19,95.56,checkpoints/evan_freematch_eurosat_swir_20260727_090711.pt,clstoken,True,False
evan_base,swir,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,True,Acc,88.44,86.96,88.44,checkpoints/evan_freematch_eurosat_swir_20260727_101433.pt,clstoken,True,False
