model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,K,temperature,alpha,lambda_u,mixmatch_warmup_epochs,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.5,10.0,4,Acc,88.67,88.33,88.67,checkpoints/evan_mixmatch_eurosat_rgb_20260413_165637.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.5,40.0,4,Acc,84.80,85.67,85.85,checkpoints/evan_mixmatch_eurosat_rgb_20260413_171834.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.5,75.0,4,Acc,69.50,69.19,70.41,checkpoints/evan_mixmatch_eurosat_rgb_20260413_174031.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.5,100.0,4,Acc,20.46,24.33,24.93,checkpoints/evan_mixmatch_eurosat_rgb_20260413_180201.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,10.0,4,Acc,86.69,87.30,86.87,checkpoints/evan_mixmatch_eurosat_rgb_20260413_182332.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,40.0,4,Acc,83.41,83.04,83.78,checkpoints/evan_mixmatch_eurosat_rgb_20260413_184436.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,75.0,4,Acc,54.93,54.56,55.61,checkpoints/evan_mixmatch_eurosat_rgb_20260413_190557.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,0.75,100.0,4,Acc,33.93,33.04,33.93,checkpoints/evan_mixmatch_eurosat_rgb_20260413_192750.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,1.0,10.0,4,Acc,86.39,86.63,87.15,checkpoints/evan_mixmatch_eurosat_rgb_20260413_194905.pt,clstoken,False
evan_small,rgb,fft,0.0003,0.0001,21605002,20,2,0.5,1.0,40.0,4,Acc,80.28,77.85,80.28,checkpoints/evan_mixmatch_eurosat_rgb_20260413_201048.pt,clstoken,False
