model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,0.01,107349523,20,True,mAP,85.56,71.40,65.71,56.49,56.71,16,69.70,56.46,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s1_20260417_214205.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,0.01,108725779,20,True,mAP,85.56,71.40,65.71,56.35,56.44,19,66.65,56.35,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_20260417_214145.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s1,s1+s2,fft,0,fft,0.001,0.01,109118995,20,True,mAP,81.09,52.68,48.53,49.11,49.42,16,70.50,48.83,checkpoints/evan_mke_benv2_s1_to_s1_s2_20260417_214123.pt,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260417_065638.pt
evan_base,s2,s2+s1,fft,0,fft,0.001,0.01,109118995,20,True,mAP,99.98,71.95,61.48,59.82,60.18,16,69.90,59.82,checkpoints/evan_mke_benv2_s2_to_s2_s1_20260417_214149.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,0.01,130391827,20,True,mAP,85.56,71.40,65.71,58.54,58.54,20,70.15,57.95,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_214201.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,0.01,343332883,20,True,mAP,100.00,75.33,65.11,61.50,62.47,6,70.80,61.94,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_20260417_214228.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260417_054530.pt
evan_large,s2,s2+s1,fft,0,fft,0.001,0.01,343857171,20,True,mAP,99.98,75.02,64.58,60.60,61.44,15,68.50,60.68,checkpoints/evan_mke_benv2_s2_to_s2_s1_20260417_214202.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260417_035413.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,0.01,341497875,20,True,mAP,100.00,75.36,65.11,60.89,61.65,11,70.40,61.39,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s1_20260417_214209.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260417_054530.pt
evan_large,s1,s1+s2,fft,0,fft,0.001,0.01,343857171,20,True,mAP,100.00,57.49,49.98,53.51,54.05,16,64.05,54.05,checkpoints/evan_mke_benv2_s1_to_s1_s2_20260417_214228.pt,clstoken,checkpoints/sft_evan_large_benv2_s1_fft_lr0.001_20260417_043157.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,1e-05,107349523,20,True,mAP,85.56,71.40,65.71,55.85,56.03,19,69.75,55.38,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s1_20260417_223334.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,1e-05,108725779,20,True,mAP,85.56,71.40,65.71,57.60,57.83,18,68.70,57.72,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_20260417_223444.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s1,s1+s2,fft,0,fft,0.001,1e-05,109118995,20,True,mAP,81.09,52.68,48.53,48.66,48.70,19,71.60,48.16,checkpoints/evan_mke_benv2_s1_to_s1_s2_20260417_223543.pt,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260417_065638.pt
evan_large,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,0.01,381658131,20,True,mAP,100.00,75.36,65.11,60.42,61.74,10,71.05,61.67,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_214208.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260417_054530.pt
evan_base,s2,s2+s1,fft,0,fft,0.001,1e-05,109118995,20,True,mAP,99.98,71.95,61.48,59.83,60.06,16,69.55,59.82,checkpoints/evan_mke_benv2_s2_to_s2_s1_20260417_223824.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,1e-05,130391827,20,True,mAP,85.56,71.40,65.71,57.25,57.44,17,68.75,57.25,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_224401.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.0003,0.01,107349523,20,True,mAP,85.56,71.40,65.71,60.78,62.10,11,75.15,61.68,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s1_20260417_232454.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.0003,0.01,108725779,20,True,mAP,85.56,71.40,65.71,61.39,62.25,11,74.45,61.97,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_20260417_232749.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.001_20260417_073911.pt
evan_base,s1,s1+s2,fft,0,fft,0.0003,0.01,109118995,20,True,mAP,81.09,52.68,48.53,49.24,49.42,17,69.15,49.27,checkpoints/evan_mke_benv2_s1_to_s1_s2_20260417_232919.pt,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260417_065638.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,1e-05,341497875,20,True,mAP,100.00,75.32,65.11,60.54,61.59,11,71.45,61.13,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s1_20260417_230528.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260417_054530.pt
evan_large,s2,s2+s1,fft,0,fft,0.001,1e-05,343857171,20,True,mAP,99.98,75.02,64.58,60.93,62.05,16,69.95,60.89,checkpoints/evan_mke_benv2_s2_to_s2_s1_20260417_230530.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_fft_lr0.001_20260417_035413.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,1e-05,343332883,20,True,mAP,100.00,75.33,65.11,61.91,62.83,15,70.85,62.75,checkpoints/evan_mke_benv2_s2_rgb_to_s2_rgb_s2_norgb_20260417_230532.pt,clstoken,checkpoints/sft_evan_large_benv2_s2_rgb_fft_lr0.001_20260417_054530.pt
evan_base,s2,s2+s1,fft,0,fft,0.0003,0.01,109118995,20,True,mAP,99.98,71.95,61.48,59.52,59.98,13,69.50,59.33,checkpoints/evan_mke_benv2_s2_to_s2_s1_20260417_233330.pt,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.001_20260417_062121.pt
evan_large,s1,s1+s2,fft,0,fft,0.001,1e-05,343857171,20,True,mAP,100.00,57.50,49.98,53.58,54.08,18,64.45,54.08,checkpoints/evan_mke_benv2_s1_to_s1_s2_20260417_230607.pt,clstoken,checkpoints/sft_evan_large_benv2_s1_fft_lr0.001_20260417_043157.pt
evan_base,s1,s1+s2,fft,0,fft,0.0003,1e-05,109118995,20,True,mAP,81.09,52.68,48.53,49.18,49.76,11,69.90,49.76,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260417_065638.pt
