model_type,teacher_modality,student_modalities,train_mode,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint,seed
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.0001,107349523,20,False,mAP,89.21,71.33,63.43,56.08,56.31,18,68.75,55.82,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.0001,107349523,20,False,mAP,89.21,71.33,63.43,55.35,55.35,20,69.40,55.29,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,1
evan_base,s2_rgb,s2_rgb+s1,fft,0.0001,0.0001,107349523,20,False,mAP,89.21,71.33,63.43,55.44,55.67,18,70.25,55.08,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,2
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0003,0.0001,108725779,20,False,mAP,89.21,71.33,63.43,58.05,58.05,20,68.35,58.05,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0003,0.0001,108725779,20,False,mAP,89.21,71.33,63.43,58.16,58.16,20,67.25,58.12,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,2
evan_base,s1,s1+s2,fft,0.0003,0.0001,109118995,20,False,mAP,71.61,47.62,44.43,47.96,48.13,15,69.10,47.96,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0
evan_base,s1,s1+s2,fft,0.0003,0.0001,109118995,20,False,mAP,71.61,47.62,44.43,48.45,48.46,19,69.85,48.46,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,1
evan_base,s1,s1+s2,fft,0.0003,0.0001,109118995,20,False,mAP,71.61,47.62,44.43,47.57,47.57,20,70.50,47.28,,clstoken,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,2
evan_base,s2,s2+s1,fft,0.0001,0.0001,109118995,20,False,mAP,90.72,70.99,62.40,60.21,60.49,11,71.20,60.37,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0
evan_base,s2,s2+s1,fft,0.0001,0.0001,109118995,20,False,mAP,90.72,70.99,62.40,59.75,60.45,15,71.60,60.41,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,1
evan_base,s2,s2+s1,fft,0.0001,0.0001,109118995,20,False,mAP,90.72,70.99,62.40,60.15,60.24,14,70.45,60.11,,clstoken,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,2
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0.0003,0.0001,108725779,20,False,mAP,89.21,71.33,63.43,58.44,58.44,19,68.10,57.75,,clstoken,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,1
