model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,0.01,107341064,20,True,mIoU,75.19,58.65,45.85,44.89,45.56,19,88.50,44.24,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_214300.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,0.01,108913928,20,True,mIoU,75.19,58.65,45.85,40.76,48.77,8,88.27,38.16,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_20260417_214300.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_base,s1,s1+s2,fft,0,fft,0.001,0.01,109307144,20,True,mIoU,93.26,51.41,44.15,44.18,47.11,13,85.75,42.82,checkpoints/evan_mke_dfc2020_s1_to_s1_s2_20260417_214304.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.001_20260417_101553.pt
evan_base,s2,s2+s1,fft,0,fft,0.001,0.01,109307144,20,True,mIoU,78.08,57.98,39.67,37.05,41.71,4,90.76,37.05,checkpoints/evan_mke_dfc2020_s2_to_s2_s1_20260417_214306.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260417_095813.pt
evan_base,s2_rgb,s2_rgb+s2_norgb+s1,fft,0,fft,0.001,0.01,130579976,20,True,mIoU,75.19,58.65,45.85,41.67,50.04,11,88.96,41.62,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_s1_20260417_214300.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
evan_large,s2_rgb,s2_rgb+s2_norgb,fft,0,fft,0.001,0.01,343583752,20,True,mIoU,79.66,59.00,48.79,48.38,49.79,1,90.19,48.38,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s2_norgb_20260417_214342.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,0.01,341486600,20,True,mIoU,79.66,59.00,48.79,45.02,50.69,7,90.74,45.02,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_214342.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_rgb_fft_lr0.0005_20260417_093927.pt
evan_large,s2,s2+s1,fft,0,fft,0.001,0.01,344108040,20,True,mIoU,82.15,59.75,50.72,42.18,53.07,1,90.80,44.80,checkpoints/evan_mke_dfc2020_s2_to_s2_s1_20260417_214301.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s2_fft_lr0.0005_20260417_082437.pt
evan_large,s1,s1+s2,fft,0,fft,0.001,0.01,344108040,20,True,mIoU,82.46,51.89,43.99,38.58,48.77,5,86.37,39.36,checkpoints/evan_mke_dfc2020_s1_to_s1_s2_20260417_214342.pt,clstoken,checkpoints/sft_evan_large_dfc2020_s1_fft_lr0.0005_20260417_084018.pt
evan_base,s2_rgb,s2_rgb+s1,fft,0,fft,0.001,1e-05,107341064,20,True,mIoU,75.19,58.65,45.85,43.67,47.41,15,88.56,44.19,checkpoints/evan_mke_dfc2020_s2_rgb_to_s2_rgb_s1_20260417_222242.pt,clstoken,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0001_20260417_110303.pt
