model_type,teacher_modality,student_modalities,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epochs,use_dino_weights,metric_name,teacher_train1_metric,teacher_train2_metric,teacher_test_metric,student_test_metric,student_best_test_metric,best_epoch,best_val2_teacher_agreement,valchecked_test_metric,saved_checkpoint,global_rep,teacher_checkpoint
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.001,0.01,109112074,20,True,Acc,100.00,98.57,98.63,91.72,91.72,20,91.67,91.72,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.001,1e-05,109112074,20,True,Acc,100.00,98.57,98.63,92.20,92.20,20,92.48,92.20,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.0003,0.01,109112074,20,True,Acc,100.00,98.57,98.63,94.57,94.57,20,93.96,94.57,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.0003,1e-05,109112074,20,True,Acc,100.00,98.57,98.63,97.72,97.91,15,98.15,97.91,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.0001,0.01,109112074,20,True,Acc,100.00,98.57,98.63,98.39,98.41,14,98.33,98.41,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+s2_norgb,fft,0,fft,0.0001,1e-05,109112074,20,True,Acc,100.00,98.57,98.63,98.26,98.26,20,98.15,98.20,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_large,rgb,rgb+s2_norgb,fft,0,fft,0.001,0.01,343847946,20,True,Acc,100.00,98.77,99.09,93.96,96.02,1,95.41,96.02,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt
evan_large,rgb,rgb+s2_norgb,fft,0,fft,0.001,1e-05,343847946,20,True,Acc,100.00,98.77,99.09,94.94,97.20,1,96.85,97.20,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260417_222048.pt
evan_base,vre,vre+nir,fft,0,fft,0.001,0.01,107342602,20,True,Acc,100.00,90.06,90.67,83.85,84.06,19,84.67,83.56,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+vre,fft,0,fft,0.001,0.01,107539210,20,True,Acc,100.00,89.20,88.59,78.04,78.04,20,78.56,78.04,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.001,0.01,107539210,20,True,Acc,100.00,98.57,98.63,83.37,83.46,19,83.26,83.37,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.001,0.01,107342602,20,True,Acc,100.00,98.57,98.63,75.33,75.33,20,75.22,75.33,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,vre,vre+rgb,fft,0,fft,0.001,0.01,107539210,20,True,Acc,100.00,90.06,90.67,89.72,89.72,20,89.89,89.72,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+rgb,fft,0,fft,0.001,0.01,107539210,20,True,Acc,100.00,89.20,88.59,78.17,78.17,20,79.89,78.17,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,vre,vre+nir,fft,0,fft,0.001,1e-05,107342602,20,True,Acc,100.00,90.06,90.67,85.70,86.07,19,87.19,86.06,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_base,swir,swir+vre,fft,0,fft,0.001,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,73.26,73.26,20,75.63,73.06,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.001,1e-05,107342602,20,True,Acc,100.00,98.57,98.63,76.52,77.33,1,77.41,77.33,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,rgb,rgb+vre,fft,0,fft,0.001,1e-05,107539210,20,True,Acc,100.00,98.57,98.63,78.67,91.91,1,92.00,91.91,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
evan_base,swir,swir+rgb,fft,0,fft,0.001,1e-05,107539210,20,True,Acc,100.00,89.20,88.59,80.52,80.52,20,83.30,80.52,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,vre,vre+rgb,fft,0,fft,0.001,1e-05,107539210,20,True,Acc,100.00,90.06,90.67,86.00,86.00,20,86.44,86.00,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_large,swir,swir+vre,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,95.96,95.57,91.93,91.93,20,92.41,91.93,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_large,swir,swir+rgb,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,95.96,95.57,92.37,92.54,18,92.33,92.54,,clstoken,checkpoints/sft_evan_large_eurosat_swir_fft_lr0.0005_20260418_042950.pt
evan_large,rgb,rgb+vre,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,98.89,99.07,94.39,95.39,1,94.56,95.39,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_large,rgb,rgb+nir,fft,0,fft,0.001,0.01,341488650,20,True,Acc,100.00,98.89,99.07,94.22,94.98,1,94.00,93.81,,clstoken,checkpoints/sft_evan_large_eurosat_rgb_fft_lr0.0005_20260418_035424.pt
evan_base,vre,vre+nir,fft,0,fft,0.0003,0.01,107342602,20,True,Acc,100.00,90.06,90.67,89.22,89.22,20,89.85,89.19,,clstoken,checkpoints/sft_evan_base_eurosat_vre_fft_lr0.0005_20260418_051940.pt
evan_large,vre,vre+rgb,fft,0,fft,0.001,0.01,341750794,20,True,Acc,100.00,96.48,96.35,92.17,92.17,20,93.41,92.17,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_large,vre,vre+nir,fft,0,fft,0.001,0.01,341488650,20,True,Acc,100.00,96.48,96.35,90.20,90.37,19,90.96,90.20,,clstoken,checkpoints/sft_evan_large_eurosat_vre_fft_lr0.0005_20260418_041229.pt
evan_base,swir,swir+vre,fft,0,fft,0.0003,0.01,107539210,20,True,Acc,100.00,89.20,88.59,88.81,88.83,19,90.07,88.83,,clstoken,checkpoints/sft_evan_base_eurosat_swir_fft_lr0.0005_20260418_052634.pt
evan_base,rgb,rgb+nir,fft,0,fft,0.0003,0.01,107342602,20,True,Acc,100.00,98.57,98.63,97.37,97.37,18,97.22,97.37,,clstoken,checkpoints/sft_evan_base_eurosat_rgb_fft_lr0.0005_20260418_002329.pt
