model,dataset,train_modality,optimizer,aug_views,epochs,lr,metric_name,train_fraction,test_s2,test_s1,test_s2s1
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.05,54.43,29.97,53.48
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.1,57.48,31.01,56.78
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.15,58.95,30.59,57.70
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.2,59.47,28.63,58.67
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.25,60.21,27.86,59.00
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.3,61.62,28.55,60.62
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.35,60.79,28.16,59.81
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.4,62.30,30.84,61.34
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.45,61.85,27.94,60.32
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.5,62.33,27.68,61.11
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.55,63.00,28.65,62.00
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.6,62.99,27.91,61.94
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.65,63.47,28.07,62.08
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.7,63.12,27.99,62.19
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.75,63.27,27.81,61.78
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.8,63.19,27.79,62.46
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.85,63.53,28.09,62.58
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.9,63.61,27.13,62.73
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,0.95,63.61,27.44,62.03
panopticon_vitb14,benv2,s2,sgd,1,50,0.01,mAP,1.0,63.93,27.69,63.04
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.05,32.64,50.19,32.66
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.1,31.53,51.37,31.61
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.15,31.68,52.82,32.21
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.2,31.79,53.69,32.18
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.25,30.03,55.66,30.36
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.3,32.02,54.75,32.57
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.35,31.28,55.17,31.68
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.4,31.81,56.51,32.57
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.45,31.42,55.39,32.04
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.5,31.15,57.14,31.85
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.55,32.03,56.72,32.61
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.6,30.36,57.95,31.19
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.65,31.53,57.04,32.32
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.7,31.85,56.26,32.83
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.75,30.67,58.17,31.46
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.8,30.79,55.62,31.57
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.85,30.66,57.39,31.38
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.9,30.75,57.42,31.40
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,0.95,30.46,56.54,31.26
panopticon_vitb14,benv2,s1,sgd,1,50,0.01,mAP,1.0,31.50,57.38,32.22
