dataset,starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,metric_name,transfer_metric,peeking_metric,addition_metric,addition_ens_metric,valchecked_transfer,valchecked_peek,valchecked_add,valchecked_add_ens,stage0_checkpoint,shote2e_checkpoint
eurosat,rgb,vre,0.0001,0.001,80,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,84.94,88.00,90.39,0.00,84.94,88.19,90.39,0.00,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
eurosat,vre,nir,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,76.22,89.52,88.72,0.00,76.83,89.11,88.72,,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
eurosat,nir,vre,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,81.06,77.33,79.24,0.00,78.96,77.76,79.24,,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
eurosat,nir,swir,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,81.50,77.35,78.50,0.00,81.50,77.06,78.50,,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
eurosat,nir,rgb,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,66.67,77.24,79.06,0.00,78.61,77.61,79.06,,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
eurosat,vre,swir,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,70.41,87.59,88.20,0.00,85.02,89.15,88.20,,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
eurosat,swir,rgb,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,82.70,86.11,86.50,0.00,83.70,86.26,86.50,,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
eurosat,vre,rgb,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,80.33,89.13,88.69,0.00,83.98,89.87,88.69,,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
eurosat,rgb,nir,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,68.33,86.61,88.07,0.00,73.33,87.09,88.07,,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
eurosat,rgb,vre,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,78.24,87.04,88.67,0.00,85.06,87.17,88.67,,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
eurosat,rgb,swir,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,79.94,87.33,88.35,0.00,82.37,86.09,88.35,,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
eurosat,swir,vre,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,72.65,85.15,86.17,0.00,85.07,85.81,86.17,,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
eurosat,swir,nir,0.0001,0.001,100,0.75,0.3,0.3,0.0,41853076,all,False,0,Acc,73.81,85.91,85.87,0.00,77.04,85.78,85.87,,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
eurosat,rgb,vre,0.0001,0.001,100,0.75,0.3,0.3,0.0,42049940,all,False,0,Acc,84.83,87.37,89.35,0.00,84.80,87.06,89.35,,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
