wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
6d178n25,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,3.860990216844385,0.027319781730904436,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.70,45.62,67.89,63.15,71.20,60.61,62.45,60.72,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
6brwsjqz,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,0.3691418038814992,0.44498956344239105,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,52.65,39.79,67.90,63.03,76.80,63.43,63.60,62.72,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
vxonqn45,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,4.242159263619616,0.9389811175858784,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,52.85,42.30,68.10,63.24,75.55,61.50,63.35,60.76,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
v37bymjr,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,0.8706241189180725,0.8414020221531505,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.75,40.95,68.15,63.34,78.65,62.93,64.95,62.70,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
qjd83szn,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,3.483575740151237,0.2509582527817893,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,51.65,43.30,67.99,63.37,73.45,62.01,62.55,60.68,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
uzb2tkor,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,0.5898397094323277,0.3056026929372838,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.20,40.59,67.86,63.06,74.90,62.00,63.70,62.61,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
xnt4m5u0,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,0.7592165708127807,0.612396559658127,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.20,41.08,67.97,63.11,76.90,62.65,64.35,62.50,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
jy0ngdnk,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,3.1523180188452624,0.7200614401445555,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.10,42.48,68.22,64.18,75.60,61.54,63.47,61.24,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
jo958o2d,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,0.8207121695726716,0.722830819262522,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,53.45,41.35,67.96,63.20,77.80,62.49,64.75,62.58,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
1t8zvz03,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,4.017334326596125,0.3366219773584652,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,51.60,42.77,67.85,63.44,73.75,61.82,62.67,60.44,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
jets4x8u,delulu-losswts,benv2,s2,s1,62.40,2.772299470566019e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.0,0.0,False,True,True,2.05978590505044,0.12095894618127812,0.23428736523557417,0.5441254268098721,144580646,latent+prefusion+distill+ce,peeking,54.20,43.79,67.94,63.42,73.90,61.94,64.05,61.23,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
