wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
2g3ro4hu,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,2.268499992459332,0.3832394605970658,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.75,52.09,68.69,64.31,81.80,64.89,71.53,63.87,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
6w8e3ylv,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,1.8749808308198237,0.44734567377074774,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.90,50.50,68.66,64.59,81.35,64.01,71.42,62.84,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
73mhyoij,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,1.309474775203494,0.01826717483716056,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.90,52.70,69.22,64.27,80.60,64.47,70.50,64.57,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
78qqywb7,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,1.90580206980842,0.8049987369132263,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.05,50.38,68.59,64.02,81.95,64.32,71.25,63.81,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
d2v51bza,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,1.5159276902517989,0.8715995047516011,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.35,51.58,68.96,64.80,81.25,65.05,70.60,64.46,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
qcbpn2ut,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,0.1749700204902338,0.9784981868085626,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.40,49.44,68.27,64.26,78.90,63.78,69.62,63.09,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
ybvdfs67,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,3.3710727860317946,0.5035796111412689,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.75,52.27,68.28,64.15,81.85,64.53,71.60,63.76,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
rx9d1iww,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,2.1951774251659746,0.3558565017074671,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.90,52.04,68.82,64.71,81.40,64.11,71.58,63.94,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
t49w8ox0,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.554044582826596,0.10929047712217456,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,62.70,51.45,68.44,63.93,82.20,64.44,72.25,63.51,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
vkkay7bs,delulu-losswts,benv2,s2,s1,62.40,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,3.0701339679051576,0.005632422900646805,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.95,51.73,68.66,64.99,80.70,64.63,70.78,63.26,checkpoints/sft_evan_base_benv2_s2_fft_lr0.0005_20260727_064647.pt,0,,teacher,none
