wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
srru8m07,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,4.131150916316449,0.33173543564202546,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,54.30,43.25,68.83,64.56,79.15,63.50,66.70,62.44,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
grtxkmev,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,4.075443708716131,0.4398856059100774,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,55.00,45.36,69.08,64.88,79.50,62.58,66.78,62.71,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
yom5bv6t,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,1.4530254905092417,0.5475249884508055,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,52.10,43.14,69.73,64.75,81.00,62.60,65.53,62.73,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
zrvltj1d,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,0.7876098818680732,0.5510326444325115,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,51.35,42.92,70.12,64.48,80.55,62.93,65.20,63.00,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
wjup2070,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,0.4242369600129925,0.9135181190207154,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,51.75,43.04,70.48,65.23,80.60,63.58,65.50,63.46,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
1s5n1bcw,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,0.0921650240542704,0.7087073477170742,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,47.50,40.81,70.07,64.31,79.95,64.45,63.50,63.04,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
5wlb4uar,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,2.808467232681126,0.7474701533770433,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,52.50,43.75,69.40,64.62,80.35,63.75,66.35,62.64,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
pnqkwl6h,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,2.178855552756864,0.1863432706807704,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,54.55,45.37,69.43,64.54,78.80,62.70,66.67,62.55,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
vj4yffkr,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,4.574058404877964,0.07395606236703478,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,57.70,46.67,68.87,64.26,78.90,63.30,68.30,62.09,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
mri5bafh,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,0.991911035692471,0.09084153919490212,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,56.35,45.93,69.90,64.65,78.45,62.30,67.10,62.98,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
s8988zb0,delulu-losswts,benv2,s2_rgb,s1,63.43,9.773872199975506e-05,,0.0002,64,0.3,0.12005781600667144,0.4563441859183578,0.06029760750515353,0.0,0.0,False,True,True,0.8757714654012866,0.1939288579080348,0.7330845202244791,0.5652296073666779,142811174,latent+prefusion+distill+ce,addition,54.75,45.09,69.72,64.60,79.80,62.46,66.80,62.82,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
