wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
8zq343rd,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,3.0162187961246545,0.045277539669085654,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.75,62.47,70.41,64.53,81.85,64.97,79.80,64.62,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
0989mylj,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.104353892452567,0.7771685296852291,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.35,62.03,69.89,64.42,81.65,64.75,79.47,64.39,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
qtbhf7xd,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,3.626641089279494,0.7685749318037753,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.05,61.84,70.01,64.44,81.60,64.64,79.20,64.20,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
7jrfyjim,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.153933439958278,0.41184503725804666,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.80,61.79,69.67,64.50,82.15,64.76,79.38,64.21,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
wdwv2aiy,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.347556921770195,0.4606341576431019,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.00,62.04,69.31,64.11,81.85,64.41,79.12,64.14,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
5sstbb40,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.8004347712399795,0.11318903527232316,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,77.55,62.40,69.84,64.56,81.85,64.91,79.60,64.19,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
qcwsjs7g,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.134024725598338,0.8496720396535206,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.90,61.44,69.83,64.09,82.15,64.36,79.50,63.86,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
wx726qsz,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,4.894152460772675,0.7311069472462575,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.65,61.93,69.94,64.42,82.10,64.46,79.33,64.07,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
xt1659wg,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,1.128365969636365,0.021260193870689337,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,76.00,61.89,70.56,64.88,81.95,65.14,78.95,64.38,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
dgw4js5b,delulu-losswts,benv2,s2_rgb,s2_norgb,63.43,0.00040501517730354863,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.0,0.0,False,True,True,0.4102192947605654,0.6302044825574644,0.8369287246181186,0.6448170007324399,144187430,latent+prefusion+distill+ce,transfer,75.30,60.35,63.19,58.85,73.50,60.33,74.40,61.28,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
