wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
wsy4wx8w,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.00023674136696351836,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,4.379000844660576,0.5219343131360831,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,84.75,49.92,47.29,47.79,88.15,51.61,86.45,50.05,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
v7kd645j,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0007805636561839563,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,3.5778027268997037,0.614474416980778,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,81.51,47.55,41.35,41.02,84.47,47.66,82.96,45.82,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
bbv8m0g0,delulu-losswts,dfc2020,s1,s2_norgb,49.05,1.0559642847826617e-05,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,4.371734848897429,0.5547353805906359,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,81.89,46.37,43.98,44.34,86.66,46.87,84.10,47.86,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
5allhkmu,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0004327159728523044,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,1.5198697453793286,0.025411762873998267,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,83.70,49.98,46.13,46.02,88.09,51.01,85.89,49.11,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
wwvmgijf,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.00027279033261229103,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,2.83784509792345,0.16055742068379797,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,84.65,50.41,46.95,46.89,88.87,50.58,86.76,49.38,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
hwxmn30t,delulu-losswts,dfc2020,s1,s2_norgb,49.05,0.0002788802008880995,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,2.716989946714623,0.7433508358671644,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,84.33,50.21,46.33,46.60,88.57,50.39,86.45,48.47,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
10dc8rgy,delulu-losswts,dfc2020,s1,s2_norgb,49.05,1.7256807626495102e-05,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,4.497295380646489,0.17115594467556106,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,82.38,48.16,44.28,44.48,87.53,48.47,84.77,48.78,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
r4st9ibg,delulu-losswts,dfc2020,s1,s2_norgb,49.05,9.060897989223304e-05,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,1.5851389642850815,0.9910789000538676,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,84.46,50.71,47.32,47.04,88.97,50.55,86.71,49.59,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
1tw042je,delulu-losswts,dfc2020,s1,s2_norgb,49.05,2.625992637258735e-05,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,1.7263970465660972,0.7198824986862593,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,83.42,48.52,46.92,46.84,88.75,49.43,86.00,49.84,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
l0e4yhh4,delulu-losswts,dfc2020,s1,s2_norgb,49.05,1.0554851961620026e-05,,0.0002,64,0.3,0.4962593964366522,0.17473438663869603,0.12547452812704218,0.0,0.0,False,True,True,1.236435150499842,0.33957499464470275,0.7029482002970043,0.7390832696189394,222841872,latent+prefusion+distill+ce,transfer,82.63,48.15,43.67,44.05,87.37,47.66,84.64,47.89,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260821_194707.pt,0,,teacher,none
