wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
wr9my7e7,delulu-paperlw,benv2,s1,s2,44.43,1.8922739898156377e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.034761998001562,0.5552327390598818,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.20,48.94,48.94,46.16,73.90,46.74,66.50,49.74,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
mnethkdq,delulu-paperlw,benv2,s1,s2,44.43,2.7468527605889007e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.167157139651468,0.6911844363615096,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.50,48.39,49.27,46.26,69.10,47.38,64.12,49.78,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
15ncov2h,delulu-paperlw,benv2,s1,s2,44.43,3.3718184890408916e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.295308251481477,0.5251764330731177,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.90,48.76,50.01,46.42,72.50,46.58,66.32,49.81,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
9j5wtquk,delulu-paperlw,benv2,s1,s2,44.43,0.00043767159687547807,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.561385186614366,0.7076898879272854,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,63.80,50.19,49.99,46.93,63.15,49.33,63.00,50.98,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
1a5l63h9,delulu-paperlw,benv2,s1,s2,44.43,0.00015658611211471596,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.393809529697616,0.3114094949284344,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,63.35,49.87,50.93,47.59,72.40,48.54,67.80,51.05,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
o0kp574x,delulu-paperlw,benv2,s1,s2,44.43,0.0003581161947316722,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.5737794221965211,0.30164897713766303,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,63.15,50.05,50.73,47.90,73.70,48.37,68.20,51.18,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
tohfkw6d,delulu-paperlw,benv2,s1,s2,44.43,7.911397512863578e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.9329788645838116,0.5613623822572579,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.00,50.04,50.26,46.58,64.85,51.94,62.92,51.55,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
fs7wn037,delulu-paperlw,benv2,s1,s2,44.43,5.8756095798827405e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.016732033321327,0.411367925303232,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.30,48.45,49.68,47.16,68.30,49.40,64.75,50.17,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
ezizl0du,delulu-paperlw,benv2,s1,s2,44.43,5.792217242765755e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.3694294128248508,0.20683264600088216,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,61.10,49.40,50.20,47.05,71.55,47.00,65.65,50.71,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
fqaebfsv,delulu-paperlw,benv2,s1,s2,44.43,3.3467819334939335e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,1.638889165136261,0.10439993921087833,0.8369287246181186,0.6448170007324399,144580646,latent+prefusion+distill+ce,transfer,60.10,48.35,49.99,46.72,72.10,46.26,65.88,50.01,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0001_20260913_195956.pt,0,,teacher,none
