wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
icdxxjpc,delulu-paperlw,benv2,s2_rgb,s1,63.43,5.747941874860466e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.6857644865981793,0.2942094926422544,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,54.70,44.37,69.95,64.97,80.50,62.27,64.15,64.06,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
w8o3rvxv,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.0004985629905857375,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.604334141612674,0.5487105866968992,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,60.95,49.59,70.15,64.87,82.85,63.58,69.47,63.95,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
vjs9f5ak,delulu-paperlw,benv2,s2_rgb,s1,63.43,1.1424777715139877e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.356794127699051,0.6028939772146397,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,45.25,39.69,68.45,64.33,76.70,61.51,60.30,63.23,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
8x6hz1qq,delulu-paperlw,benv2,s2_rgb,s1,63.43,2.7680526299427155e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.1328088953968933,0.22840164820220388,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,53.50,43.43,68.87,65.13,79.35,63.18,65.47,62.86,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
x1m95qzm,delulu-paperlw,benv2,s2_rgb,s1,63.43,1.2426015212836812e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,4.538748892080234,0.6764114861968623,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,48.00,39.74,68.42,65.08,77.10,61.81,62.23,63.06,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
ypf24wiq,delulu-paperlw,benv2,s2_rgb,s1,63.43,6.738424408843567e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.8724762236292399,0.444072518933311,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,55.60,45.26,69.93,64.99,80.00,62.20,65.17,64.39,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
nek8vfp9,delulu-paperlw,benv2,s2_rgb,s1,63.43,4.9163843787732655e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.296353719195838,0.7310252109207322,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,55.75,44.40,69.56,64.61,81.65,62.74,66.95,63.30,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
cz3xcofs,delulu-paperlw,benv2,s2_rgb,s1,63.43,2.032888404263444e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,2.755946544483318,0.23904933212024837,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,51.40,42.33,68.63,64.63,78.55,62.46,63.97,63.12,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
wkti25d4,delulu-paperlw,benv2,s2_rgb,s1,63.43,3.6859174620300086e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.0120936018394435,0.2558989265257705,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,54.95,44.20,69.50,64.94,78.00,62.66,65.47,63.85,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
v0mrab3r,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.0004242327485638649,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,0.474998135940507,0.33924307389324404,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,60.00,49.43,70.43,65.61,82.20,63.45,67.88,64.92,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
brm0j6yy,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.00020850259542817416,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,3.078372548738299,0.3289820296858944,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,59.40,46.70,70.38,65.29,80.50,64.56,69.38,63.52,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
x7wiu1i0,delulu-paperlw,benv2,s2_rgb,s1,63.43,4.359443711983653e-05,,0.0002,64,0.3,0.10431748058147255,0.44645466915571386,0.08458629625101954,0.5,0.0,False,True,False,1.7778980852486153,0.3666603185392805,0.23428736523557417,0.5441254268098721,142811174,latent+prefusion+distill+ce,peeking,55.40,44.33,69.53,65.00,79.95,62.21,66.50,63.23,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
