wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint,seed,config_label,student_init,loss_balance
hbj86h3y,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.00023529206363549245,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.2503456276340965,0.43529603218882,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,61.05,48.69,69.38,63.99,81.20,63.04,69.40,62.10,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
0nkssuty,delulu-paperlw,benv2,s2_rgb,s1,63.43,2.610895105637791e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.714585262290048,0.9754780553103736,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,52.65,41.83,69.31,64.75,80.25,62.73,65.85,60.07,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
2bgb9wjx,delulu-paperlw,benv2,s2_rgb,s1,63.43,6.273086714811196e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.442279840059129,0.3349410451735403,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,58.20,46.09,69.64,64.98,78.95,62.80,68.32,60.90,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
wcm7vmr2,delulu-paperlw,benv2,s2_rgb,s1,63.43,4.197231197031655e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.580264189063784,0.8430073371424318,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,55.40,44.14,69.66,64.94,81.20,63.49,67.50,61.30,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
n3ucfk6t,delulu-paperlw,benv2,s2_rgb,s1,63.43,2.8638568998100572e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.6610882289126936,0.8681704809284546,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,54.45,42.28,69.40,64.65,79.40,62.76,66.47,60.06,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
pytqvz7o,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.000552276485188301,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.4794851035254712,0.31497302287469353,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,63.85,51.87,68.49,63.88,82.00,63.02,72.40,62.17,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
k5gpid8e,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.0004852306613453623,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.2044606770372681,0.3624589150939792,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,61.05,49.88,68.03,62.64,80.45,63.96,70.65,62.03,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
r0djnz3o,delulu-paperlw,benv2,s2_rgb,s1,63.43,2.116208157526736e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,3.724505639405885,0.03262075227101269,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,58.70,46.71,69.03,64.34,79.90,62.68,68.83,60.63,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
mviedhbx,delulu-paperlw,benv2,s2_rgb,s1,63.43,4.933529979891281e-05,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,0.36600522620518494,0.3119816361684157,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,53.65,44.53,70.76,64.89,79.15,63.18,66.30,60.75,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
9msh5gqm,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.00038472639269051265,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,4.070145774173886,0.6571974521167823,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,63.60,51.99,69.29,64.05,82.10,63.13,72.03,62.21,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
qm5mcah8,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.0006583345667069912,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.599928476552903,0.6054757795426955,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,62.80,51.44,68.25,63.22,81.15,63.55,70.62,61.12,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
afz2hdup,delulu-paperlw,benv2,s2_rgb,s1,63.43,0.0008800077754989871,,0.0002,64,0.3,0.32321866905787167,0.2443850117203585,0.06082127813301613,0.5,0.0,False,True,False,2.235456920337798,0.07458761587383889,0.8369287246181186,0.6448170007324399,142811174,latent+prefusion+distill+ce,transfer,63.95,51.83,67.74,62.77,81.05,64.67,72.08,61.74,checkpoints/sft_evan_base_benv2_s2_rgb_fft_lr0.0005_20260803_215614.pt,0,,teacher,none
